feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,transformation,category,usage_type,expected_direction,economic_meaning,baseline_rank_ic,candidate_rank_ic,delta_rank_ic,baseline_mse,candidate_mse,mse_reduction,oos_rows,correlation_cluster,rank_ic_q_bh_cluster,rank_ic_mean_cluster,coverage_cluster,cluster_representative,max_abs_factor_correlation,year_direction_consistency,year_count,product_direction_consistency,sector_direction_consistency,worst_product_correlation,worst_sector_correlation,classification,classification_reason,enter_ml
momentum_quality_60,41,动量质量,5,0.9935067521810143,0.006493247818985748,0.0002788511333306776,-0.0014963274126946794,0.27421219006695574,-0.0054568230986715574,0.5035419126328218,-0.12766298802324844,0.898415681638623,0.002558738405927925,0.2733116949004972,0.00936197921153527,0.5159386068476978,0.2189875558030907,0.8266597415413857,1694,1694,0.002625246655880499,0.1820412450457431,0.8555503577839065,7.227377513310975e-05,0.23504288595783937,0.814175447265036,49725,0.0006167623359539672,0.6,1694,0.01661853674941034,0.1829616279498289,0.12395956026698077,-0.14962140512605493,0.013494755830682426,0.14857511618898564,0.007247193993226598,0.07979503663086261,0.0009996321557707525,0.011006964751577378,0.9664035909758987,tsmom_60×trend_efficiency_60,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,0.017114860767115075,0.01207843258895655,-0.005036428178158525,0.0010543452606963173,0.0010557505200585828,-0.0013328265556364631,49935,27,0.9664035909758987,0.002558738405927925,0.9935067521810143,False,0.9340479712380565,0.42857142857142855,7,0.4666666666666667,0.4,-0.10634677119740076,-0.03963999546072088,E,开发期未发现足够稳定的方向或增量证据,False
vol_managed_momentum_60,42,波动率管理动量,5,0.9935067521810143,0.006493247818985748,0.0002788511333306776,0.016068439803584973,0.20421813494897462,0.078682727210293,0.5425029515938606,1.8480468973944577,0.06459555877635971,0.01446942860143675,0.2248579402613618,0.06434920014218011,0.5277449822904369,1.5269184755417788,0.12678128476707434,1694,1694,0.0177858213112724,1.4951092121789278,0.13488594205654314,0.0004634936248614204,1.92876641471212,0.05375986700970219,49725,0.0011758899340856182,0.8999999999999998,1694,0.040331610634428666,0.6671112005082548,0.12512760109933257,-0.15104613479371565,0.037178395086725484,0.6149729080281158,0.03087196399131914,0.5106736503955865,0.024565532895912772,0.4063533768664724,0.5753919847121066,方向×10%目标波动/60日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,0.017114860767115075,0.016001770742247175,-0.0011130900248679,0.0010543452606963173,0.0010546815769371905,-0.000318981128298608,49935,29,0.5753919847121066,0.01446942860143675,0.9935067521810143,True,0.7123876387882527,0.42857142857142855,7,0.7,0.8,-0.058227764483184674,-0.0009521744050654228,D,主要用途是风险、波动或流动性刻画,True
tsmom_120,1,时间序列动量,5,0.989323985181054,0.010676014818945978,0.0002788511333306776,0.013887225445415189,0.28306388397950566,0.0490603931882057,0.5330578512396694,1.13542840869438,0.2561958622723183,0.011693752991587526,0.2787157923632035,0.041955832112839236,0.5230224321133412,0.9875073662997916,0.32339397351150967,1694,1694,0.007338602635835545,0.5307929734464628,0.5955622497687771,0.0003578636793780228,1.0196492083228714,0.30789485833973584,49515,0.0008411544603936086,0.8999999999999998,1694,0.015223515195599138,0.17437013621762332,0.08586572438162543,-0.2105984219383129,0.01305969894118218,0.14959068846540277,0.008732066432348268,0.1000264227495624,0.004404433923514333,0.050455816639303465,0.7286047081983691,120日累计收益/已实现波动率,趋势与动量,predictor,1,价格冲击与机构调仓可能形成中期延续,0.017114860767115075,0.018354281804146732,0.0012394210370316565,0.0010543452606963173,0.0010544951446914601,-0.00014215836190489755,49935,23,0.7286047081983691,0.011693752991587526,0.989323985181054,True,0.9313899656611115,0.7142857142857143,7,0.36666666666666664,0.4,-0.18691645082885527,-0.05207356406284259,B,相对固定基准模型提供样本外增量信息,True
csmom_120,2,横截面动量,5,0.9928295422857826,0.007170457714217426,0.425925188224515,0.012973744228523095,0.30073727230871217,0.043139794841276995,0.538961038961039,1.0048180598301326,0.31498446602139074,0.011427759184140733,0.2923652372028854,0.03908727074898613,0.5371900826446281,0.9214100194879362,0.35683639963213276,1694,1694,0.006904354471661314,0.4720034289992698,0.6369243410472636,0.0003269480517154622,0.8608433518728423,0.38932432477507684,49575,0.0010714187440467818,0.8999999999999998,1694,0.01727036009862681,0.17746090959326097,0.08711228896741263,-0.22763686165316532,0.01507513041664799,0.1549034383639307,0.010684671052690404,0.10978843397045783,0.00629421168873281,0.0646739997204682,0.7286047081983691,120日收益横截面百分位,趋势与动量,predictor,1,过去相对强势品种可能继续跑赢弱势品种,0.017114860767115075,0.011872338817718243,-0.005242521949396832,0.0010543452606963173,0.00105463888612514,-0.00027849077505095164,49935,23,0.7286047081983691,0.011427759184140733,0.9928295422857826,False,0.9292228428362693,0.7142857142857143,7,0.43333333333333335,0.6,-0.1455248896149435,-0.0312686549094422,B,具有较弱但方向一致的样本外预测证据,False
trend_efficiency_120,3,趋势效率,5,0.989323985181054,0.010676014818945978,0.0002788511333306776,-0.007179942082372043,0.2546650101937666,-0.028193673237281603,0.47992916174734357,-0.6487119502280907,0.5165245787195561,-0.010440031584304439,0.24749008210321077,-0.042183636190926764,0.48288075560802834,-0.9827294854053114,0.3257405948925617,1694,1694,-0.01403127298546988,-1.0092374897282879,0.3128607510615029,8.257301230326614e-06,0.025971651564585457,0.9792799495954001,49515,-0.00026609832045176943,-0.19999999999999998,1694,0.002799642905950475,0.03545148932003215,0.17230074597565764,-0.17401525804957052,-0.0015423358926361078,-0.019531763477534887,-0.01022629348980925,-0.12951996658691603,-0.01891025108698239,-0.2395326153922522,0.7286047081983691,120日净路径/总路径,趋势与动量,conditional,0,区分平滑趋势与高噪声路径,0.017114860767115075,0.009074467451018593,-0.008040393316096482,0.0010543452606963173,0.0010545900749691964,-0.000232195545430171,49935,14,0.7286047081983691,-0.010440031584304439,0.989323985181054,True,0.4091496842855024,0.5714285714285714,7,0.4666666666666667,0.6,-0.11157098328765212,-0.02064611550353126,C,经济角色主要是条件变量而非独立方向信号,True
realized_vol_120,24,已实现波动率,5,0.9929092140381628,0.007090785961837209,0.0003585228857108712,-0.006191347541605041,0.34194069159829554,-0.018106495347674213,0.4846517119244392,-0.4151970217954034,0.6779976788392788,-0.00944778625766159,0.310295908709866,-0.030447666219458578,0.47520661157024796,-0.7078984053164709,0.47900835010046505,1694,1694,-0.005329473754567518,-0.32644813401047257,0.7440853246920933,-4.055186605049407e-05,-0.1012945552472569,0.9193166382478282,49695,0.00010619628997709161,-0.19999999999999998,1694,0.004294382065007621,0.04068392643545997,0.015959952885747936,-0.15805669715223747,0.003892191252286773,0.03687317773170407,0.003087809626845074,0.029251958781078582,0.0022834280014033806,0.021631133768857395,0.8159528855426698,120日平方收益和开方,波动率与风险,risk,0,历史二次变差估计未来风险状态,0.017114860767115075,0.003411668515174578,-0.013703192251940497,0.0010543452606963173,0.0010560244249921663,-0.0015926133103116242,49935,37,0.8159528855426698,-0.00944778625766159,0.9929092140381628,True,0.9525417347425825,0.2857142857142857,7,0.36666666666666664,0.2,-0.10298659179508171,-0.06098432141919958,D,主要用途是风险、波动或流动性刻画,True
momentum_quality_120,41,动量质量,5,0.989323985181054,0.010676014818945978,0.0002788511333306776,0.006661997110244286,0.2781704572830109,0.02394933371183398,0.5212514757969303,0.5515472286421664,0.5812586002999178,0.011149109779767219,0.2781812677414546,0.040078578512084975,0.5236127508854782,0.9434421665626607,0.3454547837239158,1694,1694,0.006319146083682884,0.45655868570457725,0.647988280326162,0.00018305514796154777,0.497374549894149,0.6189249491471307,49515,0.0007895282049947348,0.7999999999999999,1694,0.00931905207098478,0.10664118815616709,0.0879367883784845,-0.2318147400561189,0.007103045003846974,0.08128348429384695,0.002671030869571356,0.030566346700915563,-0.0017609832647042696,-0.020152266187324987,0.7286047081983691,tsmom_120×trend_efficiency_120,趋势与动量,predictor,1,平滑趋势比震荡路径更可能持续,0.017114860767115075,0.015009968402626911,-0.002104892364488164,0.0010543452606963173,0.0010545413846922075,-0.0001860149641690297,49935,23,0.7286047081983691,0.011149109779767219,0.989323985181054,False,0.9313899656611115,0.7142857142857143,7,0.36666666666666664,0.4,-0.18748598629723837,-0.052174431932262,B,具有较弱但方向一致的样本外预测证据,False
vol_managed_momentum_120,42,波动率管理动量,5,0.989323985181054,0.010676014818945978,0.0002788511333306776,0.01877324509293136,0.19765382610008012,0.09498042847612628,0.5312868949232585,2.2382762787753685,0.02520304403232209,0.01585906166955818,0.21302179476686553,0.07444807085075306,0.5360094451003542,1.7688162641772822,0.07692454166214223,1694,1694,0.008920948679579212,0.8175842224766778,0.4135946396303525,0.0004811564494890056,1.7347523871783928,0.08278467286580124,49515,0.0009874172213230569,0.8999999999999998,1694,0.030486477172578748,0.5471192687082298,0.08963486454652532,-0.08831300590565239,0.028227678586006312,0.5065509338859118,0.023710081412861433,0.42541942873327065,0.01919248423971656,0.3443010775327448,0.4538547958066392,方向×10%目标波动/120日年化波动,趋势与动量,risk,1,按波动缩放可稳定不同品种风险预算,0.017114860767115075,0.01950727217011544,0.0023924114030003663,0.0010543452606963173,0.0010539010785927056,0.00042128714394600334,49935,30,0.4538547958066392,0.01585906166955818,0.989323985181054,True,0.6967020657250859,0.8571428571428571,7,0.5,0.4,-0.16569048992073332,-0.05417694814867262,D,主要用途是风险、波动或流动性刻画,True
multi_horizon_trend,4,多周期趋势一致性,5,0.9928295422857826,0.007170457714217426,0.8161574313827032,0.011485805918940122,0.26072899879521017,0.04405265993431616,0.5177095631641087,1.020370593106931,0.30755273503047864,0.007633650065622718,0.2638001530288696,0.02893724654051778,0.5106257378984652,0.6800735467928436,0.49645789328566015,1694,1694,0.005046795549844091,0.36061372249604207,0.7183882295897863,0.000341677359888552,0.9749565321947172,0.32958182207677966,49575,0.0010038782234501674,0.6,1694,0.0171665504060535,0.22207423104481508,0.18533568904593642,-0.13396466480703006,0.012496091042095902,0.16163848366710953,0.003155172314180704,0.04080351550132339,-0.0061857464137344935,-0.07997628194877933,0.8159528855426698,20/60/120日趋势方向均值,趋势与动量,predictor,1,多个周期同向可降低单一参数偶然性,0.017114860767115075,0.012179876713341023,-0.004934984053774053,0.0010543452606963173,0.0010544784423771188,-0.00012631695305725282,49935,25,0.8159528855426698,0.007633650065622718,0.9928295422857826,True,0.8529943560474382,0.42857142857142855,7,0.4,0.4,-0.15245665592134608,-0.04893786604196852,E,开发期未发现足够稳定的方向或增量证据,False
carry,5,Carry,5,0.9976895191809744,0.0023104808190256287,0.001095486595227662,0.03587746573894951,0.27666993176325616,0.12967605662927448,0.551357733175915,3.105365601974083,0.0019004396383239554,0.041299861980600046,0.2415407536699405,0.17098506712881792,0.564935064935065,4.20198112858871,2.6458919545431058e-05,1694,1694,0.03592186825918738,2.7596670362348497,0.005786029957602464,0.0010665049563656729,2.611375285673724,0.009017887287422689,49935,0.0028626596231605995,0.9999999999999999,1694,0.0849790014300429,1.0706148174696613,0.24112681586179815,-0.10803447322635662,0.07890260567032559,0.9941124057525232,0.06674981415089093,0.8410663633351506,0.054597022631456285,0.6879759099420818,0.0015610762531804323,最近两个合格流动合约年化对数斜率,期限结构与Carry,predictor,1,期限结构反映便利收益、库存压力与持有补偿,0.017114860767115075,0.017114860767115075,0.0,0.0010543452606963173,0.0010543452606963173,0.0,49935,10,0.0015610762531804323,0.041299861980600046,0.9976895191809744,True,0.6087455669723538,0.8571428571428571,7,0.7666666666666667,0.8,-0.09728631592673989,-0.0027006313304212054,A,FDR后显著、方向一致且分组收益同向,True
