feature_name,horizon,year,rank_ic_mean,rank_ic_days
trend_efficiency_60,5,2023,0.003364620009376809,242
trend_efficiency_60,5,2024,0.03013099411911031,237
trend_efficiency_60,20,2018,-0.014104717791392971,243
trend_efficiency_60,20,2019,0.015040557394994929,244
trend_efficiency_60,20,2020,-0.021899046494275765,243
trend_efficiency_60,20,2021,-0.04339984527847586,243
trend_efficiency_60,20,2022,0.015275663763882997,242
trend_efficiency_60,20,2023,0.013611083021539083,242
trend_efficiency_60,20,2024,0.031402258765996255,222
realized_vol_60,1,2018,-0.008900909244462487,243
realized_vol_60,1,2019,0.010358415180417697,244
realized_vol_60,1,2020,-0.012776091865690257,243
realized_vol_60,1,2021,0.01943258125392278,243
realized_vol_60,1,2022,0.023638224085487113,242
realized_vol_60,1,2023,0.008492136871599755,242
realized_vol_60,1,2024,-0.028194611838337044,241
realized_vol_60,5,2018,-0.005731411265681167,243
realized_vol_60,5,2019,-0.0003387260312076567,244
realized_vol_60,5,2020,-0.02713374779868415,243
realized_vol_60,5,2021,0.04165854149786915,243
realized_vol_60,5,2022,0.024717743577082237,242
realized_vol_60,5,2023,-0.0005515770507175088,242
realized_vol_60,5,2024,-0.08977532466922929,237
realized_vol_60,20,2018,0.02294548395016679,243
realized_vol_60,20,2019,-0.025118217628110222,244
realized_vol_60,20,2020,-0.05165691319442401,243
realized_vol_60,20,2021,0.08963320012634066,243
realized_vol_60,20,2022,0.030601494773807445,242
realized_vol_60,20,2023,-0.0025390930234696057,242
realized_vol_60,20,2024,-0.15184439166641614,222
momentum_quality_60,1,2018,-0.00020601702005904453,243
momentum_quality_60,1,2019,-0.005981284524967409,244
momentum_quality_60,1,2020,0.036984968129507384,243
momentum_quality_60,1,2021,-0.02461117111702441,243
momentum_quality_60,1,2022,0.010995088438874246,242
momentum_quality_60,1,2023,-0.004760024446140901,242
momentum_quality_60,1,2024,0.0029731771779753675,241
momentum_quality_60,5,2018,0.02163119664183947,243
momentum_quality_60,5,2019,-0.007109433183486321,244
momentum_quality_60,5,2020,0.07207067229314171,243
momentum_quality_60,5,2021,-0.04532608247847402,243
momentum_quality_60,5,2022,0.014692108377010793,242
momentum_quality_60,5,2023,-0.021303744288879288,242
momentum_quality_60,5,2024,-0.01724090996559703,237
momentum_quality_60,20,2018,0.028529910718075892,243
momentum_quality_60,20,2019,-0.00831583622708552,244
momentum_quality_60,20,2020,0.10910810169245468,243
momentum_quality_60,20,2021,-0.06865332765715908,243
momentum_quality_60,20,2022,0.05703378934747122,242
momentum_quality_60,20,2023,-0.03615035990402559,242
momentum_quality_60,20,2024,-0.029532313180811513,222
vol_managed_momentum_60,1,2018,0.006366712342699729,243
vol_managed_momentum_60,1,2019,0.009210673169362197,244
vol_managed_momentum_60,1,2020,0.04316432852666615,243
vol_managed_momentum_60,1,2021,-0.008493910887245337,243
vol_managed_momentum_60,1,2022,-0.002449933106957928,242
vol_managed_momentum_60,1,2023,-0.0006424036812097971,242
vol_managed_momentum_60,1,2024,0.007818592241385633,241
vol_managed_momentum_60,5,2018,0.04801109868798247,243
vol_managed_momentum_60,5,2019,0.007246493849094189,244
vol_managed_momentum_60,5,2020,0.09045532988185317,243
vol_managed_momentum_60,5,2021,-0.024267475979254497,243
vol_managed_momentum_60,5,2022,-0.008539069384453144,242
vol_managed_momentum_60,5,2023,-0.004975224997471939,242
vol_managed_momentum_60,5,2024,-0.007328348892111722,237
vol_managed_momentum_60,20,2018,0.08850228528389448,243
vol_managed_momentum_60,20,2019,0.004413084246323363,244
vol_managed_momentum_60,20,2020,0.13236779516596595,243
vol_managed_momentum_60,20,2021,-0.04084556686212847,243
vol_managed_momentum_60,20,2022,0.007592195447388085,242
vol_managed_momentum_60,20,2023,-0.007034445986817309,242
vol_managed_momentum_60,20,2024,-0.006621972361683151,222
tsmom_120,1,2018,-0.005108424292295919,243
tsmom_120,1,2019,0.003303003195092034,244
tsmom_120,1,2020,0.03320186139989488,243
tsmom_120,1,2021,-0.011352882725530287,243
tsmom_120,1,2022,0.014149227569296218,242
tsmom_120,1,2023,-0.016826915297908925,242
tsmom_120,1,2024,0.02316278321423941,241
tsmom_120,5,2018,0.018529247111622592,243
tsmom_120,5,2019,0.01971049018816119,244
tsmom_120,5,2020,0.06109603786034388,243
tsmom_120,5,2021,-0.020385705195988226,243
tsmom_120,5,2022,0.02356232098369827,242
tsmom_120,5,2023,-0.051987975620294356,242
tsmom_120,5,2024,0.03157657594232692,237
tsmom_120,20,2018,0.05019737180656721,243
tsmom_120,20,2019,0.043794808294525644,244
tsmom_120,20,2020,0.07150894030142578,243
