feature_name,source_factor_id,source_factor,horizon,coverage,missing_rate,stale_rate,ic_mean,ic_std,icir,ic_hit_rate,ic_t_nw,ic_p_nw,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_hit_rate,rank_ic_t_nw,rank_ic_p_nw,ic_days,rank_ic_days,nonoverlap_rank_ic_mean,nonoverlap_rank_ic_t,nonoverlap_rank_ic_p,pooled_beta,pooled_t_two_way_cluster,pooled_p_two_way_cluster,pooled_observations,group_spread,group_monotonicity,group_days,gross_annual_return,gross_sharpe,average_one_way_turnover,gross_max_drawdown,net_1bps_annual_return,net_1bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,rank_ic_q_bh,classification,expected_direction,sealed_direction_consistent,sealed_evaluation_note
term_structure_slope,44,期限结构斜率,5,1.0,0.0,0.0,0.05083311422395879,0.3839585195643861,0.13239220289116302,0.5966386554621849,1.1132202344337307,0.2656138543946338,0.03858816051448388,0.33594246267262257,0.11486538560053428,0.5798319327731093,0.9657204135758222,0.3341841019169649,238,238,0.06293103448275862,1.412638224615563,0.15776212385468735,0.0010530619542926383,1.235143555215692,0.2167770818942254,7140,0.001361112130324413,0.3,238,,,,,,,,,,,0.5328881625162414,A,1,True,冻结后一次性评估；不用于重新选因子
basis_momentum_5,9,基差动量,5,1.0,0.0,0.00013717421124828533,0.03335820675330107,0.26601825655611633,0.1253981857679914,0.5504201680672269,1.4320798026350026,0.15212098399740212,0.034737009375496584,0.21936833102392359,0.15835015571007047,0.5462184873949579,1.6896554703474542,0.0910938870401621,238,238,0.04218576195773081,1.5479211433606195,0.12164128341000609,0.000688424342975986,0.9484193145108913,0.34291603055626785,7140,0.002035433790618843,0.3,238,,,,,,,,,,,0.2687269667684782,B,1,True,冻结后一次性评估；不用于重新选因子
carry_change_20,6,Carry变化,5,1.0,0.0,0.00013717421124828533,-0.03731587223662644,0.2462768964593208,-0.15151998735208258,0.44537815126050423,-1.5311994903198405,0.12572009673909218,-0.02653096084590949,0.1925616112097478,-0.1377790758980025,0.4579831932773109,-1.3422269618260099,0.1795224169133165,238,238,-0.021501145822035748,-0.7465957092167652,0.45530763923998874,-0.0008283086429735117,-0.7874611883982526,0.4310119397751213,7140,-0.0020205432798869882,-0.3,238,,,,,,,,,,,0.4082311650267265,B,1,False,冻结后一次性评估；不用于重新选因子
basis_momentum_20,9,基差动量,5,1.0,0.0,0.00013717421124828533,-0.031653033777428015,0.23803252193715813,-0.13297776925534818,0.4579831932773109,-1.3361179213347065,0.18151073319046773,-0.0265384429690255,0.19201619376674697,-0.1382094001991481,0.42857142857142855,-1.3329451214202868,0.1825498137408682,238,238,-0.019146698520083282,-0.6655819697350781,0.50567833412915,-0.0007111062250482906,-0.7692088716511013,0.44176932464109964,7140,-0.002116403178997748,-0.3,238,,,,,,,,,,,0.4082311650267265,B,1,False,冻结后一次性评估；不用于重新选因子
carry_change_60,6,Carry变化,5,1.0,0.0,0.0,-0.00492483931543804,0.236196711487212,-0.020850583754654338,0.48739495798319327,-0.20212486365911442,0.8398191106178496,-0.03752815920584029,0.18156303159262932,-0.20669493605968062,0.40756302521008403,-1.9775470704689566,0.047979825398015034,238,238,-0.03748609566184649,-1.6112890245847988,0.10711674182403802,-0.00012350839025248607,-0.1895862605717455,0.8496333544216991,7140,-0.001905396308651599,-0.3,238,,,,,,,,,,,0.24215305717449873,B,1,False,冻结后一次性评估；不用于重新选因子
basis_momentum_60,9,基差动量,5,1.0,0.0,0.0,-0.003047949477331507,0.22782347124356242,-0.013378557796062169,0.48739495798319327,-0.12896561593014463,0.8973848560859373,-0.035826922537646876,0.1819629478942984,-0.19689130645684308,0.3865546218487395,-1.8855100381592442,0.05936101048165937,238,238,-0.03773637374860956,-1.6783016672921276,0.09328822273556076,-0.0001255446352165397,-0.2081479267702537,0.8351134664196614,7140,-0.0016422440063027638,-0.3,238,,,,,,,,,,,0.24215305717449873,B,1,False,冻结后一次性评估；不用于重新选因子
term_structure_momentum_60,45,期限结构动量,5,1.0,0.0,0.0,-0.08169641933456541,0.24355779819017048,-0.3354292900561396,0.3277310924369748,-3.061759207070204,0.002200403841374479,-0.050728634056514704,0.2185136489534438,-0.23215315976588205,0.3697478991596639,-2.0522068494501258,0.040149564106671684,238,238,-0.03778272154245457,-1.1429910174618312,0.2530423205498612,-0.001783289421500939,-3.527500769770667,0.00041950254153126073,7140,-0.005495533527508985,-0.7,238,,,,,,,,,,,0.24215305717449873,B,1,False,冻结后一次性评估；不用于重新选因子
reversal_5,12,短期反转,5,1.0,0.0,0.00027434842249657066,-0.044253888519307755,0.3290350615277056,-0.1344959662166017,0.3949579831932773,-1.4101960144233963,0.15848181235217584,-0.009394191491947161,0.29983127770784485,-0.0313315927669856,0.47058823529411764,-0.30610353035537446,0.7595258200318641,238,238,-0.009028550241008529,-0.20829687265154076,0.8349971733590515,-0.0008389691726908092,-0.9114331792630573,0.3620671782306809,7140,-0.0015322338957207476,-0.49999999999999994,238,,,,,,,,,,,0.8617696804207688,B,1,False,冻结后一次性评估；不用于重新选因子
reversal_20,12,短期反转,5,1.0,0.0,0.0008230452674897119,-0.0637892503638793,0.38217772630369595,-0.16690991121023477,0.3697478991596639,-1.4701042505214994,0.14153352133970024,-0.022183378356904503,0.3095878946594928,-0.07165454056691521,0.4117647058823529,-0.6338183602752215,0.5261993695762601,238,238,-0.03731924360400446,-0.9657532196990009,0.33416768191821167,-0.0019488401153408184,-1.4086931060935786,0.15892593428686252,7140,-0.00383749387444352,-0.9999999999999999,238,,,,,,,,,,,0.7391848286904606,B,1,False,冻结后一次性评估；不用于重新选因子
volume_shock_20,21,成交量冲击,5,1.0,0.0,0.0,0.02692342452206895,0.24489021932441382,0.109940791413979,0.5546218487394958,1.1819289462535278,0.23723389531023364,0.028251745637075734,0.2393166757446061,0.11805172184167151,0.5462184873949579,1.3366440070136003,0.1813388670874504,238,238,0.025750834260289207,0.9783709956313885,0.32789086796605904,0.0005795990112009391,1.0618144763479085,0.28831991657355727,7140,0.00173029775253977,0.7,238,,,,,,,,,,,0.4082311650267265,C,0,True,冻结后一次性评估；不用于重新选因子
