rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
79,inventory_acceleration__missing,inventory_acceleration,quality_flag,data_quality,-0.0186701701978109,0.4566273421235253,-0.0782482911218022,-0.0277320854683411,-0.4319635710893033,-0.1848692918855253,-0.4319635710893033,-0.9029911973618652,-1.2170096148769065,-2.002055658664509,6,2,2
80,carry_annualized__missing,carry_annualized,quality_flag,data_quality,-0.0204701009251971,0.4375,-0.1491349621331924,-0.0029597568763252,-0.053306560409974,-0.1346596039955868,-0.053306560409974,-0.5979426417353549,-0.9610333626189428,-1.8687601648279109,6,0,1
81,carry_change_20__missing,carry_change_20,quality_flag,data_quality,-0.0245530405201776,0.4823529411764706,-0.1274394275351212,-0.0024021203648502,-0.0436230917103784,-0.1283952990528531,-0.0436230917103784,-0.5927888673413162,-0.9588993844286082,-1.8741756771468383,6,1,1
83,volume_price_divergence_20__missing,volume_price_divergence_20,quality_flag,data_quality,-0.0515909844917257,0.4761904761904761,-0.2636460670282628,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,2,1
84,oi_surprise_60__missing,oi_surprise_60,quality_flag,data_quality,-0.0577207482044179,0.4761904761904761,-0.3099130045787369,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
85,value_252__missing,value_252,quality_flag,data_quality,-0.05815514947669,0.365079365079365,-0.3695902893953618,-0.0081810988026198,-0.1423994018340965,-0.1610689472980565,-0.1423994018340965,-0.6687538702685958,-1.0196568492249287,-1.896914296615761,6,0,1
86,multi_horizon_trend__missing,multi_horizon_trend,quality_flag,data_quality,-0.0594540130442625,0.3666666666666666,-0.3765093544971773,-0.0080094485255386,-0.1393945822705667,-0.1602332011341301,-0.1393945822705667,-0.6656845202633271,-1.016544478925168,-1.893694375579769,6,0,1
87,low_volatility_20__missing,low_volatility_20,quality_flag,data_quality,-0.0686521004875473,0.45,-0.3730175212324064,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
88,oi_growth_20__missing,oi_growth_20,quality_flag,data_quality,-0.0686521004875473,0.45,-0.3730175212324064,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
89,price_oi_interaction_20__missing,price_oi_interaction_20,quality_flag,data_quality,-0.0686521004875473,0.45,-0.3730175212324064,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
90,realized_volatility_20__missing,realized_volatility_20,quality_flag,data_quality,-0.0815246042842008,0.35,-0.4568961198476999,-0.0033503883953838,-0.0603912534334259,-0.1366100442142137,-0.0603912534334259,-0.605471789870025,-0.9688588141610912,-1.8773263748887568,6,0,1
91,factor_momentum__missing,factor_momentum,quality_flag,data_quality,,,,-0.003970488758873,-0.0715195855507302,-0.1397277525555976,-0.0715195855507302,-0.6162263958195894,-0.9793642693321624,-1.8872089531135947,6,0,1
