rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
23,curve_curvature__missing,curve_curvature,quality_flag,data_quality,0.0145352596323422,0.5206611570247934,0.0623316375989295,-0.000655401354857,-0.0119132581533671,-0.1486326760670526,-0.0119132581533671,-0.5615870174278039,-0.9280361902774288,-1.84415912240149,6,2,2
33,value_252__csz,value_252,predictor,value_reversion,0.0125577481194222,0.5075862068965518,0.0455254470982619,-0.0022094732528288,-0.0218096866754826,-0.1470914436290462,-0.0218096866754826,-0.3203084008926327,-0.5193075437040663,-1.0168054007326497,6,4,2
75,term_structure_slope__missing,term_structure_slope,quality_flag,data_quality,-0.0145352596323422,0.4679752066115702,-0.0623316375989295,-0.0028308790343857,-0.0408507343729496,-0.1685679748941179,-0.0408507343729496,-0.4772262179004625,-0.7681432069188048,-1.49543567946466,6,4,2
3,amihud_20__missing,amihud_20,quality_flag,data_quality,0.0514343618740105,0.5897435897435898,0.2378817413546234,-0.0023417674641589,-0.0421506750845347,-0.1336689982919872,-0.0421506750845347,-0.5864559633186512,-0.9493261554747288,-1.8565016358649236,6,2,1
81,carry_change_20__missing,carry_change_20,quality_flag,data_quality,-0.0245530405201776,0.4823529411764706,-0.1274394275351212,-0.0024021203648502,-0.0436230917103784,-0.1283952990528531,-0.0436230917103784,-0.5927888673413162,-0.9588993844286082,-1.8741756771468383,6,1,1
41,price_oi_interaction_20__csz,price_oi_interaction_20,predictor,trading_liquidity,0.0057082408635348,0.5110344827586207,0.0252159024999004,-0.00487069639693,-0.0530550794823919,-0.1767658894079263,-0.0530550794823919,-0.3824506058713417,-0.602047623463975,-1.151040167445558,6,4,3
80,carry_annualized__missing,carry_annualized,quality_flag,data_quality,-0.0204701009251971,0.4375,-0.1491349621331924,-0.0029597568763252,-0.053306560409974,-0.1346596039955868,-0.053306560409974,-0.5979426417353549,-0.9610333626189428,-1.8687601648279109,6,0,1
38,basis_surprise__csz,basis_surprise,predictor,basis_spot,0.0073750488743293,0.5095435684647303,0.0339472099176027,-0.0038799735073762,-0.0555535113014439,-0.1883053482794762,-0.0555535113014439,-0.4885302258490831,-0.7771813688808425,-1.4988092264602408,6,3,2
90,realized_volatility_20__missing,realized_volatility_20,quality_flag,data_quality,-0.0815246042842008,0.35,-0.4568961198476999,-0.0033503883953838,-0.0603912534334259,-0.1366100442142137,-0.0603912534334259,-0.605471789870025,-0.9688588141610912,-1.8773263748887568,6,0,1
1,volume_shock_20__missing,volume_shock_20,quality_flag,data_quality,0.1415950355739791,0.8,0.6876951596562525,-0.0034959813784468,-0.0629836206595357,-0.1373484077095402,-0.0629836206595357,-0.6077876349161885,-0.9709903110872906,-1.8789970015150452,6,1,1
83,volume_price_divergence_20__missing,volume_price_divergence_20,quality_flag,data_quality,-0.0515909844917257,0.4761904761904761,-0.2636460670282628,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,2,1
84,oi_surprise_60__missing,oi_surprise_60,quality_flag,data_quality,-0.0577207482044179,0.4761904761904761,-0.3099130045787369,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
87,low_volatility_20__missing,low_volatility_20,quality_flag,data_quality,-0.0686521004875473,0.45,-0.3730175212324064,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
88,oi_growth_20__missing,oi_growth_20,quality_flag,data_quality,-0.0686521004875473,0.45,-0.3730175212324064,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
89,price_oi_interaction_20__missing,price_oi_interaction_20,quality_flag,data_quality,-0.0686521004875473,0.45,-0.3730175212324064,-0.0036834478830959,-0.0664117047620256,-0.138276347695905,-0.0664117047620256,-0.6116318397393853,-0.9751119297242922,-1.8838121546865585,6,1,1
39,realized_skewness_60__missing,realized_skewness_60,quality_flag,data_quality,0.0063957264138496,0.5166666666666667,0.0397517609383952,-0.0039114470405449,-0.0707318709796728,-0.1393728203248264,-0.0707318709796728,-0.6175708684795059,-0.9821302001460618,-1.8935285293124504,6,1,1
40,trend_efficiency_60__missing,trend_efficiency_60,quality_flag,data_quality,0.0063957264138496,0.5166666666666667,0.0397517609383952,-0.0039114470405449,-0.0707318709796728,-0.1393728203248264,-0.0707318709796728,-0.6175708684795059,-0.9821302001460618,-1.8935285293124504,6,1,1
91,factor_momentum__missing,factor_momentum,quality_flag,data_quality,,,,-0.003970488758873,-0.0715195855507302,-0.1397277525555976,-0.0715195855507302,-0.6162263958195894,-0.9793642693321624,-1.8872089531135947,6,0,1
92,factor_momentum__tsz,factor_momentum,conditional,meta_factor,,,,-0.003970488758873,-0.0715195855507302,-0.1397277525555976,-0.0715195855507302,-0.6162263958195894,-0.9793642693321624,-1.8872089531135947,6,0,1
52,idiosyncratic_volatility_60__missing,idiosyncratic_volatility_60,quality_flag,data_quality,-0.0050907975312473,0.4915254237288136,-0.0314339579361234,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
56,csmom_60__missing,csmom_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
57,momentum_quality_60__missing,momentum_quality_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
58,sector_relative_value_60__missing,sector_relative_value_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
59,tsmom_60__missing,tsmom_60,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
60,vol_managed_momentum__missing,vol_managed_momentum,quality_flag,data_quality,-0.0063957264138496,0.4833333333333333,-0.0397517609383952,-0.0044560794793336,-0.0791301970870525,-0.1423747147168543,-0.0791301970870525,-0.6161262652699104,-0.9741236440584828,-1.869117091029913,6,1,1
37,warehouse_surprise__missing,warehouse_surprise,quality_flag,data_quality,0.0103733068177234,0.5145631067961165,0.0517122029457241,-0.0056392993955219,-0.1000240011251868,-0.1292288901147252,-0.1000240011251868,-0.6363895284507084,-0.9939665466677232,-1.8879090922102597,6,4,2
31,fundamental_underreaction__csz,fundamental_underreaction,predictor,information_news,0.0127440396167579,0.5175718849840255,0.0555408264918961,-0.0080562939263724,-0.1105000942109356,-0.1559822666770645,-0.1105000942109356,-0.5252718092795904,-0.8017862859920272,-1.4930724777731184,6,4,2
