rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
36,sector_relative_value_60__csz,sector_relative_value_60,predictor,industry_chain,0.0108895297431895,0.5241379310344828,0.0436599776701658,0.0297845175665317,0.3172029927830505,-0.1202537166612114,0.3172029927830505,-0.0048508555068418,-0.2195534210334369,-0.756309834849924,6,5,4
38,basis_surprise__csz,basis_surprise,predictor,basis_spot,0.0073750488743293,0.5095435684647303,0.0339472099176027,-0.0038799735073762,-0.0555535113014439,-0.1883053482794762,-0.0555535113014439,-0.4885302258490831,-0.7771813688808425,-1.4988092264602408,6,3,2
41,price_oi_interaction_20__csz,price_oi_interaction_20,predictor,trading_liquidity,0.0057082408635348,0.5110344827586207,0.0252159024999004,-0.00487069639693,-0.0530550794823919,-0.1767658894079263,-0.0530550794823919,-0.3824506058713417,-0.602047623463975,-1.151040167445558,6,4,3
42,fundamental_composite_news__csz,fundamental_composite_news,predictor,information_news,0.0043288703079753,0.5095846645367412,0.0216621057564757,-0.0081104634341683,-0.1389159800476928,-0.1122770285926361,-0.1389159800476928,-0.6568665596588051,-1.0021669460662137,-1.8654179120847345,6,3,2
44,warehouse_surprise__csz,warehouse_surprise,predictor,information_news,0.0021393938917047,0.4895251396648045,0.0105569473388597,0.0051121647941811,0.0769781566894727,-0.0966824205845761,0.0769781566894727,-0.3783709081410044,-0.6819369513613229,-1.4408520594121184,6,3,3
45,basis_shock_20__csz,basis_shock_20,predictor,basis_spot,0.0015252987345592,0.5058430717863105,0.006818119931869,-0.0464881797673811,-0.6223295398047921,-0.3481258400693282,-0.6223295398047921,-1.0271473962548656,-1.2970259672215811,-1.9717223946383704,6,3,1
47,vol_managed_momentum__csz,vol_managed_momentum,predictor,trend_momentum,-0.0005668155527512,0.5131034482758621,-0.0025389787571616,0.002045899158362,0.03122505480324,-0.1160758490962718,0.03122505480324,-0.4303058341414364,-0.7379930934378878,-1.507211241679015,6,2,3
49,inventory_surprise__csz,inventory_surprise,predictor,information_news,-0.0007314131087266,0.4869281045751634,-0.0039825018879609,-0.0228556343946552,-0.4380149333776573,-0.1540921376593352,-0.4380149333776573,-1.017546936586362,-1.4039016053921651,-2.3697882774066734,6,2,0
50,curve_curvature__csz,curve_curvature,predictor,term_structure,-0.0027006338870919,0.4972413793103448,-0.0131253360261393,0.0123417836567336,0.1667536915774697,-0.1928166646402684,0.1667536915774697,-0.2418283880923055,-0.5142164412054893,-1.1951865739884475,6,3,3
51,trend_efficiency_60__csz,trend_efficiency_60,predictor,trend_momentum,-0.0049974029308336,0.4903448275862069,-0.0205138892280223,-0.0314776958427341,-0.3564153512717561,-0.179612431819456,-0.3564153512717561,-0.6988165319777997,-0.9270839857818288,-1.497752620291901,6,2,3
53,basis_momentum_20__csz,basis_momentum_20,predictor,basis_spot,-0.0056556152560231,0.4841402337228714,-0.0238950447311777,-0.0242877685541853,-0.331835098467547,-0.2210087572135911,-0.331835098467547,-0.7449934071557865,-1.0204322796146128,-1.7090294607616787,6,2,1
54,inventory_scarcity__csz,inventory_scarcity,predictor,inventory_fundamental,-0.0057653796982428,0.4868421052631579,-0.032787904680977,-0.0213539866529079,-0.383897046691471,-0.2128390115662776,-0.383897046691471,-0.9275447917540616,-1.2899766217957886,-2.1960561969001064,6,3,2
61,momentum_carry_interaction__csz,momentum_carry_interaction,predictor,factor_interaction,-0.0064718313607187,0.4786206896551724,-0.0297628920171982,-0.0189993282423509,-0.2479894504811135,-0.1448299013809713,-0.2479894504811135,-0.6426981942267267,-0.9058373567238024,-1.563685262966491,6,3,3
62,tsmom_60__csz,tsmom_60,predictor,trend_momentum,-0.0068028192858416,0.4917241379310345,-0.0254036320367946,-0.019247227789227,-0.1889089876837137,-0.2150371892987073,-0.1889089876837137,-0.4857105764690317,-0.6835783023259105,-1.178247616968107,6,2,3
63,momentum_quality_60__csz,momentum_quality_60,predictor,trend_momentum,-0.006991504295523,0.4944827586206896,-0.0261834275035621,-0.0127172149611678,-0.1236291262158522,-0.2047269598091512,-0.1236291262158522,-0.4176042448391569,-0.6135876572546934,-1.1035461882935345,6,2,3
65,volume_price_divergence_20__csz,volume_price_divergence_20,predictor,trading_liquidity,-0.0085650430448296,0.48,-0.0336232974534038,-0.0270779631836922,-0.2769501733893796,-0.3003200941721812,-0.2769501733893796,-0.5862412816784509,-0.792435353871165,-1.3079205343529503,6,2,3
67,csmom_60__csz,csmom_60,predictor,trend_momentum,-0.0086730388948848,0.4972413793103448,-0.0300258746745117,-0.0289253813298974,-0.2480851486728999,-0.283011657250568,-0.2480851486728999,-0.5074454250442364,-0.6803522759584612,-1.112619403244022,6,2,3
68,carry_change_20__csz,carry_change_20,predictor,term_structure,-0.00904875764513,0.476551724137931,-0.0418580174963897,-0.0432979110968534,-0.506706470601833,-0.3019281262549939,-0.506706470601833,-0.86059891674603,-1.0965272141754947,-1.686347957749156,6,2,0
69,multi_horizon_trend__csz,multi_horizon_trend,predictor,trend_momentum,-0.009523554064433,0.4951724137931034,-0.0374816136063227,0.0002499132095313,0.0029181368742117,-0.2236532208119682,0.0029181368742117,-0.3501822824339207,-0.585582561972676,-1.1740832608195635,6,2,4
74,seasonality_3y__csz,seasonality_3y,predictor,value_reversion,-0.0138056763095778,0.4862068965517241,-0.0563031787199484,0.0062990825974877,0.072980374428907,-0.1734306129838203,0.072980374428907,-0.2773764415954347,-0.5109476522783293,-1.0948756789855656,6,2,2
