feature_name,source_factor,source_factor_id,usage_type,catalog_direction,category
information_divergence__csz,information_divergence,36,predictor,0,information_news
information_divergence__missing,information_divergence,36,quality_flag,0,data_quality
warehouse_surprise__csz,warehouse_surprise,39,predictor,1,information_news
warehouse_surprise__missing,warehouse_surprise,39,quality_flag,1,data_quality
momentum_quality_60__csz,momentum_quality_60,41,predictor,1,trend_momentum
momentum_quality_60__missing,momentum_quality_60,41,quality_flag,1,data_quality
vol_managed_momentum__csz,vol_managed_momentum,42,predictor,1,trend_momentum
vol_managed_momentum__missing,vol_managed_momentum,42,quality_flag,1,data_quality
idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60,43,risk,0,volatility_risk
idiosyncratic_volatility_60__missing,idiosyncratic_volatility_60,43,quality_flag,0,data_quality
term_structure_slope__csz,term_structure_slope,44,predictor,1,term_structure
term_structure_slope__missing,term_structure_slope,44,quality_flag,1,data_quality
term_structure_momentum__csz,term_structure_momentum,45,predictor,1,term_structure
term_structure_momentum__missing,term_structure_momentum,45,quality_flag,1,data_quality
term_structure_acceleration__csz,term_structure_acceleration,46,predictor,1,term_structure
term_structure_acceleration__missing,term_structure_acceleration,46,quality_flag,1,data_quality
basis_surprise__csz,basis_surprise,47,predictor,1,basis_spot
basis_surprise__missing,basis_surprise,47,quality_flag,1,data_quality
inventory_acceleration__csz,inventory_acceleration,48,predictor,1,inventory_fundamental
inventory_acceleration__missing,inventory_acceleration,48,quality_flag,1,data_quality
inventory_price_divergence__csz,inventory_price_divergence,49,predictor,1,information_news
inventory_price_divergence__missing,inventory_price_divergence,49,quality_flag,1,data_quality
oi_surprise_60__csz,oi_surprise_60,52,conditional,0,trading_liquidity
oi_surprise_60__missing,oi_surprise_60,52,quality_flag,0,data_quality
volume_price_divergence_20__csz,volume_price_divergence_20,53,predictor,0,trading_liquidity
volume_price_divergence_20__missing,volume_price_divergence_20,53,quality_flag,0,data_quality
momentum_carry_interaction__csz,momentum_carry_interaction,54,predictor,0,factor_interaction
momentum_carry_interaction__missing,momentum_carry_interaction,54,quality_flag,0,data_quality
nonlinear_tightness__csz,nonlinear_tightness,55,predictor,1,factor_interaction
nonlinear_tightness__missing,nonlinear_tightness,55,quality_flag,1,data_quality
correlation_risk_20_120__csz,correlation_risk_20_120,57,risk,-1,volatility_risk
