trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,fold_id,test_year
2019-03-20,29,5,5,0.00623366591545376,-0.0006022473807909799,0.0034179566481223698,1.0,0.0,2.0,0.0034179566481223698,0.00281795664812237,0.0024179566481223698,0.0014179566481223697,fold_2019,2019
2019-03-27,29,5,5,0.0119705422841608,0.01140790371712876,0.00028131928351602005,1.0,0.0,2.0,0.00028131928351602005,-0.0003186807164839799,-0.00071868071648398,-0.00171868071648398,fold_2019,2019
2019-04-03,29,5,5,0.0193542736034511,0.00510000790970732,0.00712713284687189,1.0,0.0,2.0,0.00712713284687189,0.00652713284687189,0.00612713284687189,0.00512713284687189,fold_2019,2019
2019-04-11,29,5,5,-0.015499212782676557,-0.014798212299323942,-0.00035050024167630756,1.0,0.0,2.0,-0.00035050024167630756,-0.0009505002416763075,-0.0013505002416763076,-0.0023505002416763076,fold_2019,2019
2019-04-18,29,5,5,0.013769006594093438,0.012585051653465398,0.00059197747031402,1.0,0.0,2.0,0.00059197747031402,-8.022529685979972e-06,-0.00040802252968598005,-0.00140802252968598,fold_2019,2019
2019-04-25,29,5,5,0.01392991735279254,-0.016586923821120876,0.015258420586956707,1.0,0.0,2.0,0.015258420586956707,0.014658420586956707,0.014258420586956706,0.013258420586956707,fold_2019,2019
2019-05-07,29,5,5,-0.02380916207383346,-0.02495280272731888,0.0005718203267427099,1.0,0.0,2.0,0.0005718203267427099,-2.817967325729001e-05,-0.0004281796732572901,-0.00142817967325729,fold_2019,2019
2019-05-14,29,5,5,0.0230197905509303,0.00965637570656924,0.0066817074221805295,1.0,0.0,2.0,0.0066817074221805295,0.00608170742218053,0.0056817074221805295,0.0046817074221805295,fold_2019,2019
2019-05-21,29,5,5,0.0005812705609913801,0.0020053459308796194,-0.0007120376849441197,1.0,0.0,2.0,-0.0007120376849441197,-0.0013120376849441195,-0.0017120376849441197,-0.0027120376849441197,fold_2019,2019
2019-05-28,29,5,5,-0.00705786502848426,-0.0341999255448852,0.01357103025820047,1.0,0.0,2.0,0.01357103025820047,0.01297103025820047,0.012571030258200468,0.01157103025820047,fold_2019,2019
2019-06-04,29,5,5,-0.0062505012022220805,-0.0025071185349875,-0.0018716913336172902,1.0,0.0,2.0,-0.0018716913336172902,-0.0024716913336172903,-0.00287169133361729,-0.00387169133361729,fold_2019,2019
2019-06-12,29,5,5,0.011685531842630301,-0.00168292018609386,0.006684226014362081,1.0,0.0,2.0,0.006684226014362081,0.006084226014362081,0.005684226014362081,0.004684226014362081,fold_2019,2019
2019-06-19,29,5,5,0.02244387511834498,0.03975120488526364,-0.008653664883459328,1.0,0.0,2.0,-0.008653664883459328,-0.009253664883459328,-0.00965366488345933,-0.010653664883459328,fold_2019,2019
2019-06-26,29,5,5,0.0337196211081294,0.0020082716598654,0.015855674724132,1.0,0.0,2.0,0.015855674724132,0.015255674724132001,0.014855674724132,0.013855674724132001,fold_2019,2019
2019-07-03,29,5,5,0.007495591131342259,-0.0001714261636872797,0.0038335086475147695,1.0,0.0,2.0,0.0038335086475147695,0.0032335086475147696,0.0028335086475147694,0.0018335086475147694,fold_2019,2019
2019-07-10,29,5,5,-0.0200451455212722,0.03149744467956696,-0.02577129510041958,1.0,0.0,2.0,-0.02577129510041958,-0.02637129510041958,-0.02677129510041958,-0.027771295100419577,fold_2019,2019
2019-07-17,29,5,5,-0.008134457552700938,0.005962282424809543,-0.0070483699887552405,1.0,0.0,2.0,-0.0070483699887552405,-0.00764836998875524,-0.00804836998875524,-0.009048369988755241,fold_2019,2019
2019-07-24,29,5,5,0.009209032322417359,-0.0009111523300627998,0.00506009232624008,1.0,0.0,2.0,0.00506009232624008,0.00446009232624008,0.00406009232624008,0.0030600923262400796,fold_2019,2019
2019-07-31,29,5,5,-0.049066667810083335,0.022508397967268924,-0.03578753288867613,1.0,0.0,2.0,-0.03578753288867613,-0.03638753288867613,-0.03678753288867613,-0.03778753288867613,fold_2019,2019
2019-08-07,29,5,5,0.0089157700969347,-0.0011075296014764007,0.0050116498492055505,1.0,0.0,2.0,0.0050116498492055505,0.004411649849205551,0.0040116498492055504,0.0030116498492055504,fold_2019,2019
