trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_1bps_return,net_3bps_return,net_5bps_return,test_year
2025-02-12,30,6,6,-0.018751204994633335,-0.017314268875480168,-0.0007184680595765831,1.0,0.0,2.0,-0.0009184680595765831,-0.001318468059576583,-0.0017184680595765832,2025
2025-02-13,30,6,6,0.008121498199207135,0.011023028783321202,-0.0014507652920570336,1.0,0.0,2.0,-0.0016507652920570337,-0.0020507652920570335,-0.0024507652920570337,2025
2025-02-14,30,6,6,-0.00563060247259175,-0.013795435992692182,0.004082416760050216,1.0,0.0,2.0,0.0038824167600502156,0.003482416760050216,0.0030824167600502156,2025
2025-02-17,30,6,6,0.007318016083737317,0.004085103040923233,0.0016164565214070417,1.0,0.0,2.0,0.0014164565214070416,0.0010164565214070419,0.0006164565214070417,2025
2025-02-18,30,6,6,0.008289883608668685,0.002854194224151417,0.0027178446922586337,1.0,0.0,2.0,0.0025178446922586336,0.002117844692258634,0.0017178446922586337,2025
2025-02-19,30,6,6,0.005708547649656383,0.012146762995082284,-0.0032191076727129506,1.0,0.0,2.0,-0.0034191076727129507,-0.0038191076727129504,-0.004219107672712951,2025
2025-02-20,30,6,6,-0.0092566653623748,-0.0006768161227480499,-0.004289924619813375,1.0,0.0,2.0,-0.004489924619813374,-0.004889924619813375,-0.005289924619813375,2025
2025-02-21,30,6,6,-0.0123736963915043,0.000658747275923083,-0.006516221833713691,1.0,0.0,2.0,-0.006716221833713691,-0.007116221833713691,-0.007516221833713691,2025
2025-02-24,30,6,6,0.0002831549383402165,-0.0159667825050961,0.008124968721718157,1.0,0.0,2.0,0.007924968721718157,0.007524968721718157,0.007124968721718157,2025
2025-02-25,30,6,6,-0.00517731322873165,0.002058526412754033,-0.0036179198207428416,1.0,0.0,2.0,-0.0038179198207428417,-0.004217919820742841,-0.004617919820742842,2025
2025-02-26,30,6,6,0.0013128545957106668,0.009334106885314433,-0.004010626144801883,1.0,0.0,2.0,-0.004210626144801883,-0.004610626144801883,-0.005010626144801883,2025
2025-02-27,30,6,6,-0.00052583085677755,0.0006298534127111834,-0.0005778421347443667,1.0,0.0,2.0,-0.0007778421347443666,-0.0011778421347443666,-0.0015778421347443666,2025
2025-02-28,30,6,6,0.0032430224975339337,-0.003498039539671,0.0033705310186024668,1.0,0.0,2.0,0.0031705310186024667,0.002770531018602467,0.0023705310186024667,2025
2025-03-03,30,6,6,-0.021537092757895327,-0.0015147185493938002,-0.010011187104250764,1.0,0.0,2.0,-0.010211187104250764,-0.010611187104250764,-0.011011187104250763,2025
