feature_name,horizon,year,rank_ic_mean,rank_ic_days
tsmom_120,5,2020,0.06035771371952563,238
tsmom_120,20,2015,-0.0516322029225255,124
tsmom_120,20,2016,-0.013121459596869433,244
tsmom_120,20,2017,-0.017096819391901358,244
tsmom_120,20,2018,0.05019737180656721,243
tsmom_120,20,2019,0.043794808294525644,244
tsmom_120,20,2020,0.09329164229028054,223
csmom_120,1,2015,-0.03340827999836639,124
csmom_120,1,2016,-0.005757192925928526,244
csmom_120,1,2017,0.011559631397295819,244
csmom_120,1,2018,-0.004710480287187631,243
csmom_120,1,2019,0.00048360142175124033,244
csmom_120,1,2020,0.032275588238922966,242
csmom_120,5,2015,-0.04467318523770136,124
csmom_120,5,2016,0.012568306010928962,244
csmom_120,5,2017,-0.009673532296483116,244
csmom_120,5,2018,0.02491256248599799,243
csmom_120,5,2019,0.014663023679417122,244
csmom_120,5,2020,0.0589847062295441,238
csmom_120,20,2015,-0.028306451612903228,124
csmom_120,20,2016,0.01972637562801497,244
csmom_120,20,2017,-0.03127644668628275,244
csmom_120,20,2018,0.06100446106406089,243
csmom_120,20,2019,0.031116360242985454,244
csmom_120,20,2020,0.09399710262452622,223
trend_efficiency_120,1,2015,0.022667355371535115,124
trend_efficiency_120,1,2016,0.010532651497773427,244
trend_efficiency_120,1,2017,-0.0071831282524571225,244
trend_efficiency_120,1,2018,-0.01595659258903397,243
trend_efficiency_120,1,2019,0.008873022466962966,244
trend_efficiency_120,1,2020,0.011504305156705686,242
trend_efficiency_120,5,2015,0.04480089802670448,124
trend_efficiency_120,5,2016,0.005211073079925538,244
trend_efficiency_120,5,2017,-0.01823865569767209,244
trend_efficiency_120,5,2018,-0.05811649429359093,243
trend_efficiency_120,5,2019,0.008336922483332884,244
trend_efficiency_120,5,2020,0.0075391892018208855,238
trend_efficiency_120,20,2015,0.03908740005514199,124
trend_efficiency_120,20,2016,0.00020877119237774883,244
trend_efficiency_120,20,2017,-0.06800616505534537,244
trend_efficiency_120,20,2018,-0.13345507306341703,243
trend_efficiency_120,20,2019,0.02713823611223272,244
trend_efficiency_120,20,2020,-0.012380971383250948,223
realized_vol_120,1,2015,-0.004754974002109135,184
realized_vol_120,1,2016,0.038245416591301054,244
realized_vol_120,1,2017,0.04298738395790978,244
realized_vol_120,1,2018,-0.0049699135904101785,243
realized_vol_120,1,2019,0.00932890714102238,244
realized_vol_120,1,2020,-0.021165878061527945,242
realized_vol_120,5,2015,-0.03281268248659553,184
realized_vol_120,5,2016,0.06504723873576333,244
realized_vol_120,5,2017,0.05111041053664005,244
realized_vol_120,5,2018,0.009089602984877569,243
realized_vol_120,5,2019,0.0008376178811453004,244
realized_vol_120,5,2020,-0.049257678599804774,238
realized_vol_120,20,2015,-0.1084417635504592,184
realized_vol_120,20,2016,0.09043765888028182,244
realized_vol_120,20,2017,0.0804427630657139,244
realized_vol_120,20,2018,0.04826321369531246,243
realized_vol_120,20,2019,-0.017625642682171795,244
realized_vol_120,20,2020,-0.08938567231438733,223
momentum_quality_120,1,2015,-0.03126435914653347,124
momentum_quality_120,1,2016,-0.0165718902884487,244
momentum_quality_120,1,2017,0.00762368235624039,244
