feature_name,source_factor,source_factor_id,usage_type,category,catalog_direction,applied_direction,direction_source,direction_source_modes,applied_direction_modes,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive,fold_id,test_year,train_start,train_end,train_rows,test_rows,score_transform,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate
carry_annualized__csz,carry_annualized,5,predictor,term_structure,1,1,catalog,catalog,1,1,1,1,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,0.03347605818359927,0.032220813260668134,0.5822784810126582,0.12420036594148992,237,7100,237,48,-0.9358861381406267,0.6628492194546589,0.20253164556962025,0.04596060405201428,0.10494540248004824,0.43794776108226474,-0.08218656103302746,0.039256535234061474,0.6458333333333334,0.04596060405201428,0.10494540248004824,0.43794776108226474,-0.08218656103302746,0.039256535234061474,0.6458333333333334,0.015720604052014267,0.10494540248004824,0.14979792997604635,-0.08443616771802975,0.009764186578567369,0.5833333333333334,-0.004439395947985731,0.10494540248004824,-0.04230195742809915,-0.08593360715520115,-0.00944043923193505,0.5416666666666666,-0.05483939594798573,0.10494540248004824,-0.522551675938463,-0.09270668194708254,-0.055900951082492156,0.5208333333333334
carry_annualized__missing,carry_annualized,5,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
carry_change_20__csz,carry_change_20,6,predictor,term_structure,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,-0.05091754046665895,-0.05124480953249049,0.41350210970464135,-0.24110853760803136,237,7100,237,48,-1.1026477649758983,0.6979949351280094,0.20253164556962025,-0.1064216323476153,0.0625939371255798,-1.700190741063399,-0.11757652962419562,-0.09815496677350821,0.4375,-0.1064216323476153,0.0625939371255798,-1.700190741063399,-0.11757652962419562,-0.09815496677350821,0.4375,-0.13666163234761533,0.0625939371255798,-2.18330462379186,-0.1394270024568337,-0.12382061998450589,0.4166666666666667,-0.15682163234761531,0.0625939371255798,-2.5053805456108336,-0.15415670183806096,-0.14053226770609384,0.4166666666666667,-0.20722163234761531,0.0625939371255798,-3.310570350158268,-0.18991195157915308,-0.18095784799237513,0.3125
carry_change_20__missing,carry_change_20,6,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
correlation_risk_20_120__csz,correlation_risk_20_120,57,risk,volatility_risk,-1,-1,catalog,catalog,-1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,-0.010463169663601952,-0.007165455292689404,0.5147679324894515,-0.025464505106556495,237,7100,237,48,-1.0144567130352775,0.6881321862207729,0.20253164556962025,-0.09190419727546861,0.08494746752210705,-1.081894492635123,-0.11354816176803528,-0.08696317230275863,0.5,-0.09190419727546861,0.08494746752210705,-1.081894492635123,-0.11354816176803528,-0.08696317230275863,0.5,-0.12214419727546863,0.08494746752210705,-1.4378792074487845,-0.12786138117430457,-0.11294155089856761,0.4166666666666667,-0.14230419727546859,0.08494746752210705,-1.6752023506578912,-0.14118693562929396,-0.12985691381956255,0.4166666666666667,-0.19270419727546861,0.08494746752210705,-2.2685102086806594,-0.174180708199825,-0.17077558795047687,0.3958333333333333
correlation_risk_20_120__missing,correlation_risk_20_120,57,quality_flag,data_quality,-1,-1,catalog,catalog,-1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
csmom_60__csz,csmom_60,2,predictor,trend_momentum,1,1,catalog,catalog,1,1,1,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,0.0250929929892437,0.010507988704261425,0.5147679324894515,0.03192600481787171,237,7100,237,48,-0.9791922044688199,0.6675620897800597,0.20253164556962025,-0.011070636715618924,0.11249547124748106,-0.09840962123056854,-0.15148894576973937,-0.016397075541946582,0.5625,-0.011070636715618924,0.11249547124748106,-0.09840962123056854,-0.15148894576973937,-0.016397075541946582,0.5625,-0.04131063671561895,0.11249547124748106,-0.36722044236553175,-0.15715722540270383,-0.04434204535795583,0.5208333333333334,-0.06147063671561895,0.11249547124748106,-0.5464276564555071,-0.1609169319303848,-0.0625385620257205,0.5208333333333334,-0.11187063671561896,0.11249547124748106,-0.9944456916804455,-0.1777343672590267,-0.10655854357790162,0.4791666666666667
csmom_60__missing,csmom_60,2,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
curve_curvature__csz,curve_curvature,10,predictor,term_structure,0,-1,train_rank_ic,train_rank_ic,-1,1,0,1,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,-0.007337758336831542,-0.009604440402776599,0.4767932489451477,-0.043558060810783845,237,7100,237,48,-1.017885753101492,0.6885303684174009,0.20253164556962025,0.06232755839332445,0.052201960472590715,1.1939696867524796,-0.03501648586797179,0.05978024400654047,0.6041666666666666,0.06232755839332445,0.052201960472590715,1.1939696867524796,-0.03501648586797179,0.05978024400654047,0.6041666666666666,0.03208755839332445,0.052201960472590715,0.6146810982352363,-0.04311140143847647,0.029720091805293558,0.5833333333333334,0.011927558393324442,0.052201960472590715,0.22848870589040723,-0.04847293216101156,0.010145501982285365,0.5416666666666666,-0.03847244160667556,0.052201960472590715,-0.7369922749716651,-0.06859664261944365,-0.037210800386962783,0.375
curve_curvature__missing,curve_curvature,10,quality_flag,data_quality,0,-1,train_rank_ic,train_rank_ic,-1,1,1,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,-0.0007014011418083872,0.0019139882521830329,0.5066666666666667,0.008956585211701994,150,7100,237,48,-0.08025413250452007,0.5289919517102615,0.20253164556962025,-0.12674549397134072,0.04437183504263724,-2.856440213697496,-0.10961819102255699,-0.11465884806490967,0.2916666666666667,-0.12674549397134072,0.04437183504263724,-2.856440213697496,-0.10961819102255699,-0.11465884806490967,0.2916666666666667,-0.15698549397134076,0.04437183504263723,-3.537953609998149,-0.13444444099988928,-0.13986388424323104,0.22916666666666666,-0.17714549397134077,0.04437183504263724,-3.9922958741985837,-0.15061753638140407,-0.1562754691250502,0.20833333333333334,-0.22754549397134075,0.04437183504263723,-5.128151534699671,-0.18976733821261604,-0.19597471774693043,0.14583333333333334
