trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,feature_name,fold_id,test_year
2025-07-04,30,6,6,0.0027262612020274167,0.036256499027516924,-0.016765118912744754,1.0,0.0,2.0,-0.016765118912744754,-0.017365118912744754,-0.017765118912744755,-0.018765118912744752,tsmom_60__csz,fold_2025,2025
2025-07-11,30,6,6,0.015538779624061716,0.017061231852878316,-0.0007612261144082999,1.0,0.0,2.0,-0.0007612261144082999,-0.0013612261144082998,-0.0017612261144083,-0.0027612261144083,tsmom_60__csz,fold_2025,2025
2025-07-18,30,6,6,0.0003861568494034004,0.03757052719545235,-0.018592185173024474,1.0,0.0,2.0,-0.018592185173024474,-0.019192185173024474,-0.019592185173024475,-0.020592185173024476,tsmom_60__csz,fold_2025,2025
2025-07-25,30,6,6,-0.05813748920023176,-0.008910706422020733,-0.024613391389105514,1.0,0.0,2.0,-0.024613391389105514,-0.025213391389105513,-0.025613391389105514,-0.026613391389105512,tsmom_60__csz,fold_2025,2025
2025-08-01,30,6,6,0.01177949248025655,-0.004285455292953317,0.008032473886604934,1.0,0.0,2.0,0.008032473886604934,0.007432473886604934,0.007032473886604934,0.006032473886604934,tsmom_60__csz,fold_2025,2025
2025-08-08,30,6,6,0.005879381896768301,0.0036070261533319658,0.0011361778717181674,1.0,0.0,2.0,0.0011361778717181674,0.0005361778717181675,0.0001361778717181674,-0.0008638221282818326,tsmom_60__csz,fold_2025,2025
2025-08-15,30,6,6,-0.015922597499194415,0.0018305650242040668,-0.00887658126169924,1.0,0.0,2.0,-0.00887658126169924,-0.00947658126169924,-0.009876581261699241,-0.01087658126169924,tsmom_60__csz,fold_2025,2025
2025-08-22,30,6,6,-0.0056540390238379494,0.009082131796842982,-0.007368085410340466,1.0,0.0,2.0,-0.007368085410340466,-0.007968085410340466,-0.008368085410340467,-0.009368085410340466,tsmom_60__csz,fold_2025,2025
2025-08-29,30,6,6,0.004888469319149917,-0.003496197869496584,0.004192333594323251,1.0,0.0,2.0,0.004192333594323251,0.003592333594323251,0.0031923335943232507,0.0021923335943232506,tsmom_60__csz,fold_2025,2025
2025-09-05,30,6,6,-0.0025391295814532,0.0006387224139894001,-0.0015889259977213,1.0,0.0,2.0,-0.0015889259977213,-0.0021889259977213,-0.0025889259977213003,-0.0035889259977213003,tsmom_60__csz,fold_2025,2025
2025-09-12,30,6,6,0.013128543470364148,-0.0038063889297776667,0.008467466200070908,1.0,0.0,2.0,0.008467466200070908,0.007867466200070908,0.007467466200070908,0.006467466200070908,tsmom_60__csz,fold_2025,2025
2025-09-19,30,6,6,0.0017177680342057831,0.011161574833108019,-0.0047219033994511175,1.0,0.0,2.0,-0.0047219033994511175,-0.005321903399451117,-0.0057219033994511176,-0.006721903399451118,tsmom_60__csz,fold_2025,2025
2025-09-26,30,6,6,0.023719284871945,-0.0211771927647141,0.02244823881832955,1.0,0.0,2.0,0.02244823881832955,0.02184823881832955,0.021448238818329548,0.02044823881832955,tsmom_60__csz,fold_2025,2025
2025-10-13,30,6,6,0.004677316413893034,-0.0031103594200300165,0.0038938379169615256,1.0,0.0,2.0,0.0038938379169615256,0.003293837916961526,0.0028938379169615256,0.0018938379169615256,tsmom_60__csz,fold_2025,2025
2025-10-20,30,6,6,0.002680905804186562,0.02828895149195143,-0.012804022843882434,1.0,0.0,2.0,-0.012804022843882434,-0.013404022843882434,-0.013804022843882435,-0.014804022843882434,tsmom_60__csz,fold_2025,2025
2025-10-27,30,6,6,-0.002174700670507883,-0.02197418309743332,0.009899741213462718,1.0,0.0,2.0,0.009899741213462718,0.009299741213462718,0.008899741213462719,0.007899741213462718,tsmom_60__csz,fold_2025,2025
2025-11-03,30,6,6,0.006568236923164599,-0.018411776401938747,0.012490006662551673,1.0,0.0,2.0,0.012490006662551673,0.011890006662551673,0.011490006662551674,0.010490006662551673,tsmom_60__csz,fold_2025,2025
2025-11-10,30,6,6,-0.006590787979430017,0.00026744552933825015,-0.0034291167543841336,1.0,0.0,2.0,-0.0034291167543841336,-0.004029116754384133,-0.004429116754384134,-0.005429116754384134,tsmom_60__csz,fold_2025,2025
2025-11-17,30,6,6,-0.0012785689667296333,-0.002307181216999734,0.0005143061251350503,1.0,0.0,2.0,0.0005143061251350503,-8.569387486494966e-05,-0.00048569387486494973,-0.0014856938748649498,tsmom_60__csz,fold_2025,2025
2025-11-24,30,6,6,0.04239960909963685,0.012260607397843867,0.015069500850896492,1.0,0.0,2.0,0.015069500850896492,0.014469500850896492,0.01406950085089649,0.013069500850896492,tsmom_60__csz,fold_2025,2025
2025-12-01,30,6,6,0.0251411913746647,-0.02061891325490332,0.02288005231478401,1.0,0.0,2.0,0.02288005231478401,0.02228005231478401,0.02188005231478401,0.020880052314784008,tsmom_60__csz,fold_2025,2025
