feature_name,test_year,standardized_coefficient,source_factor,usage_type,classification
carry_change_60__missing,2019,0.008020061638965502,Carry变化,quality_flag,B
basis_momentum_60__cs_robust_z,2019,-0.0014762565357239316,基差动量,predictor,B
basis_momentum_60__missing,2019,0.008020061638965502,基差动量,quality_flag,B
value_120__cs_robust_z,2019,0.00769039088853069,价值因子,predictor,B
value_120__missing,2019,-0.005913222513210369,价值因子,quality_flag,B
value_252__cs_robust_z,2019,0.009698086304620343,价值因子,predictor,B
value_252__missing,2019,0.0005014629399649021,价值因子,quality_flag,B
reversal_5__cs_robust_z,2019,0.014026875727208564,短期反转,predictor,B
oi_growth_5__cs_robust_z,2019,-0.007094718459740733,持仓量增长,predictor,B
oi_growth_5__missing,2019,-0.007378491494461015,持仓量增长,quality_flag,B
reversal_20__cs_robust_z,2019,-0.004288211206055019,短期反转,predictor,B
reversal_20__missing,2019,-0.007929657796866987,短期反转,quality_flag,B
price_oi_20__cs_robust_z,2019,-0.0026907344805453906,价格—持仓量交互,predictor,B
price_oi_20__missing,2019,-0.00027216609772408084,价格—持仓量交互,quality_flag,B
volume_shock_20__cs_robust_z,2019,-0.0017993892271622538,成交量冲击,conditional,C
volume_shock_20__missing,2019,-0.0004413327753029705,成交量冲击,quality_flag,C
oi_surprise_20__cs_robust_z,2019,-0.004874320844386365,持仓意外,predictor,B
oi_surprise_20__missing,2019,-0.003748576228682641,持仓意外,quality_flag,B
volume_shock_60__cs_robust_z,2019,0.005561083355543493,成交量冲击,conditional,C
volume_shock_60__missing,2019,-0.010324364092486223,成交量冲击,quality_flag,C
oi_surprise_60__cs_robust_z,2019,-0.007400380684237133,持仓意外,predictor,B
oi_surprise_60__missing,2019,-0.001729054343571136,持仓意外,quality_flag,B
amihud_20__cs_robust_z,2019,0.007706434780069497,Amihud非流动性,risk,D
amihud_20__missing,2019,-0.0009483913171669461,Amihud非流动性,quality_flag,D
volume_oi_turnover__cs_robust_z,2019,0.0018603821293240268,成交量—持仓量换手率,conditional,C
low_vol_60__cs_robust_z,2019,-0.006906928860680802,低波动,risk,D
low_vol_60__missing,2019,0.0047216502096454616,低波动,quality_flag,D
realized_skew_60__cs_robust_z,2019,-0.002861810466734295,已实现偏度,risk,D
realized_skew_60__missing,2019,0.0047216502096454616,已实现偏度,quality_flag,D
realized_skew_120__cs_robust_z,2019,0.00029253158035323114,已实现偏度,risk,D
realized_skew_120__missing,2019,-0.004061889115496332,已实现偏度,quality_flag,D
idiosyncratic_vol_60__cs_robust_z,2019,-0.003876452106300819,特质波动,risk,D
idiosyncratic_vol_60__missing,2019,0.0047216502096454616,特质波动,quality_flag,D
correlation_risk_20_120__cs_robust_z,2019,-0.006977901402873673,相关性风险,risk,D
correlation_risk_20_120__missing,2019,-0.004638814605054155,相关性风险,quality_flag,D
volume_price_divergence_20__cs_robust_z,2019,0.008020953401341135,量价背离,conditional,C
volume_price_divergence_20__missing,2019,-0.002339078889356387,量价背离,quality_flag,C
interaction__tsmom_60__carry__cs_robust_z,2019,-0.0057956392002140615,因子交互,predictor,B
interaction__tsmom_60__carry__missing,2019,0.0003655227375215572,因子交互,quality_flag,B
interaction__momentum_quality_60__carry__cs_robust_z,2019,-0.00044776572192302427,因子交互,predictor,B
interaction__momentum_quality_60__carry__missing,2019,0.0003655227375215572,因子交互,quality_flag,B
interaction__tsmom_20__oi_surprise_20__cs_robust_z,2019,-0.00630973364002009,因子交互,predictor,B
interaction__tsmom_20__oi_surprise_20__missing,2019,-0.001182289648062875,因子交互,quality_flag,B
orth__tsmom_20__vs__momentum_quality_20,2019,-0.0009474864525765142,时间序列动量,orthogonalized_predictor,B
orth__csmom_20__vs__momentum_quality_20,2019,-0.006517976709768451,横截面动量,orthogonalized_predictor,B
orth__realized_vol_60__vs__realized_vol_120,2019,0.002731522706912859,已实现波动率,orthogonalized_predictor,D
orth__csmom_120__vs__tsmom_120,2019,0.003636346310726133,横截面动量,orthogonalized_predictor,B
orth__momentum_quality_120__vs__tsmom_120,2019,-0.008165315544365923,动量质量,orthogonalized_predictor,B
orth__basis_momentum_60__vs__carry_change_60,2019,0.0026036234984197423,基差动量,orthogonalized_predictor,B
orth__value_120__vs__value_252,2019,-0.0004670701917535199,价值因子,orthogonalized_predictor,B
orth__reversal_20__vs__momentum_quality_20,2019,-0.006925383523768749,短期反转,orthogonalized_predictor,B
orth__oi_surprise_20__vs__oi_surprise_60,2019,0.006096770733120541,持仓意外,orthogonalized_predictor,B
orth__low_vol_60__vs__realized_vol_120,2019,0.003347789545871783,低波动,orthogonalized_predictor,D
orth__interaction__momentum_quality_60__carry__vs__interaction__tsmom_60__carry,2019,-0.0022764540756119818,因子交互,orthogonalized_predictor,B
feature_available_count,2019,-7.472035394579497e-05,全体入选因子,quality_flag,C
