factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,expected_direction,orientation,coverage,ic_observations,ic_mean,rank_ic,ic_std,ic_ir,rank_ic_std,rank_ic_ir,rank_ic_hit_rate,p_ic_gt_002,p_ic_lt_neg002,rank_ic_t_stat,rank_ic_p_value,factor_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,turnover,t_stat,p_value,annual_return_0bps,sharpe_0bps,annual_return_3bps,sharpe_3bps,annual_return_5bps,sharpe_5bps,annual_return_10bps,sharpe_10bps,monotonicity,group_return_spread,rank_ic_fdr_q,portfolio_fdr_q
tightness_composite,供需紧张度,inventory_fundamental,extension,predictor,仓单、库存、基差和Carry的等权看多方向组合,positive,1.0,0.7826016561039922,1381,0.009738515570035236,0.018419643443709204,0.2926930869148703,0.03327210653549764,0.2721215854208429,0.06768902002104228,0.5257060101375814,0.498189717595945,0.4489500362056481,1.4620903076436704,0.14394414280856457,0.0015967748545404614,0.00028519409555993747,0.08722219088911018,0.04684156788032942,-0.17573452106557053,0.0016228689379335155,0.5132978723404256,0.11676100628848829,0.9071328505704974,0.013314226140210161,0.19532799340015444,0.005477133542771018,0.10620429629845894,0.00028519409555993747,0.04684156788032942,-0.012580825533012319,-0.10134625868547309,0.9999999999999999,0.0008710312104878739,0.45918212920580936,0.9483661619600654
oi_growth_20,持仓量增长,trading_liquidity,core,conditional,未平仓合约数量的二十日增长,mixed,1.0,0.9995374011194893,1450,0.007505955781297694,0.014473062120129176,0.21533501868821492,0.0348571069723017,0.21446875616442956,0.06748331262308867,0.5186206896551724,0.4703448275862069,0.4489655172413793,1.4496172527316857,0.1473816753564645,0.04241699647534625,0.007245847139334849,0.07608517350381881,0.13281699585301035,-0.20873628118872045,0.03471292627266752,0.9689655172413794,0.3497845196185044,0.7267551799375966,0.03212807380886895,0.45321330560899775,0.01712747826116967,0.2610704019853896,0.007245847139334849,0.13281699585301035,-0.017048971708469085,-0.18830571366507323,0.7999999999999999,0.0013299751193990399,0.45918212920580936,0.9483661619600654
price_oi_interaction_20,价格—持仓量交互,trading_liquidity,core,predictor,价格方向和新增持仓方向的联合变化,mixed,1.0,0.9995374011194893,1450,0.0012866715438031367,0.005481798122060703,0.26323049010156163,0.004888003450157705,0.22654157566082125,0.024197757546579744,0.5096551724137931,0.4731034482758621,0.46551724137931033,0.537805460731971,0.5907939491025249,0.06197617975852188,0.01050523532852865,0.08347991810665374,0.16664804447453843,-0.14581946778359356,0.07204274908011024,1.0885057471264366,0.4068980709867575,0.6843840400578793,0.03859286188932631,0.4950564349744858,0.021649923677966143,0.2980451902397763,0.01050523532852865,0.16664804447453843,-0.016838511466047423,-0.16197137489312596,0.19999999999999998,0.0014366759354150444,0.7151716225977933,0.9483661619600654
hedging_pressure,套保压力,trading_liquidity,core,predictor,商业交易者净持仓压力,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume_shock_20,成交量冲击,trading_liquidity,core,conditional,成交量相对历史正常水平的异常,mixed,1.0,0.9997687005597446,1450,0.007928096328935078,0.006322118070574102,0.22364143303819534,0.03545003365982301,0.22278829159696348,0.028377245614016236,0.5124137931034483,0.47517241379310343,0.4503448275862069,0.7612078156243662,0.4466568114744486,-0.19348741354082244,-0.036682029969169694,0.07637769035698336,-0.45100245659623717,-0.21102965814550478,-0.17382405056960032,1.4370114942528736,-1.1600469827467792,0.24698711826164246,-0.0011415685510922646,0.023127891520748747,-0.022617014247749312,-0.2613736359031556,-0.036682029969169694,-0.45100245659623717,-0.0709829254240465,-0.9248422430061597,0.49999999999999994,9.89493907317771e-05,0.6420691664945198,0.9483661619600654
amihud_20,Amihud非流动性,trading_liquidity,core,risk,单位成交额对应的绝对价格变动,negative,-1.0,0.9990979321830041,1450,0.013356551263651508,0.0115588225478592,0.23629326725961025,0.05652531457435458,0.21396024181424422,0.054023226230480365,0.526896551724138,0.4917241379310345,0.4393103448275862,1.1253672316842522,0.2606198165807449,0.08489028592908654,0.014261198748949155,0.08723876131907181,0.2059459616877772,-0.26350535311280643,0.054121096897959214,0.19321839080459768,0.5020349347583378,0.6160252177552876,0.01920716610440687,0.2616442270091996,0.016236794742867877,0.2282322988004643,0.014261198748949155,0.2059459616877772,0.009338440046454233,0.15019232369120858,0.49999999999999994,0.0007084991713117662,0.5708815029863936,0.9483661619600654
turnover_oi,成交量—持仓量换手率,trading_liquidity,core,conditional,相对存量持仓的交易活跃程度,mixed,1.0,1.0,1450,0.007728452378745499,0.00729313622515239,0.2734574995088357,0.028261987301963845,0.24283429398970244,0.030033386575380745,0.506896551724138,0.4986206896551724,0.44275862068965516,0.6514677222994346,0.5148479127280429,0.070763306872198,0.011953419088275075,0.0856639297866485,0.18143438632657238,-0.1445643189732294,0.0826858188325753,0.6129885057471264,0.4642801666496369,0.6427965774789804,0.027697787727713363,0.3615676119566205,0.018222687476324717,0.2535138489848234,0.011953419088275075,0.18143438632657238,-0.003555246368365017,0.0011102945141933018,0.6,0.0010159908901617083,0.6854893235650289,0.9483661619600654
realized_volatility_20,已实现波动率,volatility_risk,extension,risk,过去二十日收益波动风险,mixed,1.0,0.9995374011194893,1450,0.013693595004576661,0.012773858409813172,0.3448355241580887,0.0397105113749791,0.315420055966928,0.04049792702830703,0.5124137931034483,0.4896551724137931,0.4703448275862069,0.836814059511026,0.4028350779933413,-0.006931762806784536,-0.0012081568780182295,0.12659255806362602,0.05397619636238724,-0.21455480106786662,-0.005630994375353423,0.35551724137931034,0.13938462822239223,0.889243301803281,0.007779954283600565,0.12473688135105321,0.0023776737323573105,0.08228210163991502,-0.0012081568780182295,0.05397619636238724,-0.010118129653075902,-0.01679529435167622,0.49999999999999994,0.0007277921262637945,0.6420691664945198,0.9483661619600654
low_volatility_20,低波动因子,volatility_risk,extension,risk,横截面低波动品种得分更高,positive,1.0,0.9995374011194893,1450,-0.018811017777461577,-0.012773858409813172,0.3186750274386413,-0.0590288417911363,0.315420055966928,-0.04049792702830703,0.48758620689655174,0.45586206896551723,0.4993103448275862,-0.836814059511026,0.4028350779933413,-0.1715687313413563,-0.03218234462214242,0.12661629801330845,-0.19548078822344725,-0.24714777074784566,-0.13021499050855975,0.35551724137931034,-0.5044205272605392,0.6143502576047997,-0.02346461849305881,-0.12473688135105321,-0.02870439383659773,-0.16718562079423827,-0.03218234462214242,-0.19548078822344725,-0.04082420853073332,-0.266201952196877,-0.49999999999999994,-0.0007277921262637945,0.6420691664945198,0.9483661619600654
realized_skewness_60,已实现偏度,volatility_risk,extension,risk,过去六十日收益分布非对称性,mixed,1.0,0.9986122033584679,1450,-0.008694193612661093,-0.014402968327269616,0.22105147667308794,-0.03933108135495018,0.22534283083889747,-0.06391580452615603,0.4586206896551724,0.4393103448275862,0.4979310344827586,-1.3787757638665874,0.168176705829302,-0.19905550318876575,-0.03784117917875862,0.08120407086805925,-0.43434685435454157,-0.2749279061799659,-0.137640371632511,0.4577011494252874,-1.129105904745614,0.25978951094809605,-0.026676665186707416,-0.29206275443831653,-0.03339040521213521,-0.3774110953313314,-0.03784117917875862,-0.43434685435454157,-0.048881065181890504,-0.5767861476581899,-0.7999999999999999,-0.0009478146666874936,0.45918212920580936,0.9483661619600654
seasonality_3y,季节性因子,value_reversion,extension,predictor,过去三年近似同期五日收益的平均,mixed,1.0,0.9632002590553731,1450,-0.014474936473444984,-0.013924699610076578,0.26389390978710503,-0.05485134721419892,0.2515755595590622,-0.05534996974460664,0.48482758620689653,0.45655172413793105,0.4917241379310345,-1.3738596635507985,0.16969774340214694,-0.19550240367673932,-0.03710073932069591,0.0889782273701499,-0.380339602744888,-0.2223088045458167,-0.1668883038460568,1.6272413793103448,-1.009298003631066,0.313676018651674,0.0032190346166593997,0.08048364538992889,-0.021166977830593847,-0.1959632996857331,-0.03710073932069591,-0.380339602744888,-0.07583190222687308,-0.841468672207052,-0.09999999999999999,0.00038482115023552805,0.45918212920580936,0.9483661619600654
industry_chain_residual,产业链残差,industry_chain,extension,predictor,相对明确上下游和替代品关系的状态偏离,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sector_relative_value_60,相对价值残差,industry_chain,extension,predictor,品种六十日收益相对板块共同收益的偏离,negative,-1.0,0.9986122033584679,1450,-0.012547551121624074,-0.010888617637199685,0.2790724229207686,-0.04496163035495072,0.24947774287564525,-0.04364564755031966,0.47517241379310343,0.43586206896551727,0.4986206896551724,-0.9007582784430628,0.36786653742217024,-0.2292788258062095,-0.04425171117774784,0.0877551841292742,-0.47184906512139946,-0.29024976278087267,-0.15246080049738464,0.48758620689655163,-1.0576062387614489,0.29111821130887366,-0.03242422598589778,-0.33190357043702573,-0.03953774192294357,-0.4158824363916277,-0.04425171117774784,-0.47184906512139946,-0.0559380944621688,-0.611681000322123,-0.49999999999999994,-0.0011986712805485,0.6420691664945198,0.9483661619600654
market_state_conditional,状态条件因子,state_interaction,extension,conditional,市场状态概率调节基础因子,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_state_interaction,单品种状态交互因子,state_interaction,extension,conditional,品种自身状态调节基础因子,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factor_momentum,因子动量,meta_factor,extension,conditional,四个冻结基础因子组合最近二十日已实现收益的持续性,mixed,1.0,1.0,1450,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
fundamental_composite_news,基本面综合新息代理,information_news,extension,predictor,库存、仓单和基差中至少两类历史模型意外的统一方向组合,positive,1.0,0.7470046722486932,1200,0.006272280478237456,0.004933777401597188,0.21965945818382349,0.02855456591806967,0.21974692906052892,0.022452088057340665,0.5116666666666667,0.49083333333333334,0.45416666666666666,0.46324966720008837,0.6432694918648331,-0.052428139433500665,-0.011245318899223644,0.06699164652679657,-0.1354850452780785,-0.1183787186491656,-0.09499442997479098,0.8656250000000001,-0.30913823690736075,0.7574856984018962,0.010567511721246037,0.19039586389353375,-0.0025760224543797117,-0.005240473022184089,-0.011245318899223644,-0.1354850452780785,-0.03259734994223351,-0.4603784551368295,0.3,0.00046122506449817265,0.7509797002709695,0.9483661619600654
fundamental_underreaction,基本面反应不足代理,information_news,extension,predictor,模型隐含基本面新息扣除首个可交易日价格反应后的未吸收部分,positive,1.0,0.7470046722486932,1200,0.01705149086722055,0.013901460392126388,0.27016675686715896,0.06311468910886313,0.25270104494335893,0.055011487567225126,0.5133333333333333,0.4816666666666667,0.465,1.5634905164021284,0.11820114529008564,0.1443439445986925,0.028719283738754875,0.08708216435484967,0.36837842715414193,-0.1364053818287524,0.21054362631241316,1.390625,0.8708504726012921,0.38470967518527843,0.06538136932204397,0.7711774426871002,0.043233416754392406,0.5294593699564336,0.028719283738754875,0.36837842715414193,-0.006706398181339335,-0.03402196879802224,0.6,0.0024093885676228556,0.45918212920580936,0.9483661619600654
information_consistency,信息一致性,information_news,extension,predictor,仓单、库存、基差和Carry方向一致时放大的综合信号,positive,1.0,0.7826016561039922,1381,0.005489832659305197,0.018164306316539827,0.2890609490176055,0.018991955426572806,0.2722701348762354,0.06671428111201654,0.5365677045619116,0.500362056480811,0.45763939174511226,1.4367951413130802,0.1510028804493928,0.02193132021549382,0.0038848033971270457,0.08519403228288298,0.08802229163932265,-0.18146386082266608,0.02140813812466734,0.5849290780141844,0.2108133150942184,0.8331857417490846,0.018791732516707516,0.2611226086692169,0.009821895533256741,0.15725281420965884,0.0038848033971270457,0.08802229163932265,-0.01080951979699396,-0.08495588334410595,0.49999999999999994,0.0005497482720397712,0.45918212920580936,0.9483661619600654
information_divergence,信息背离,information_news,extension,predictor,供需基本面信号相对价格趋势的未反映差异,positive,1.0,0.7826016561039922,1381,0.01891382763997034,0.02570649720755456,0.285239091212675,0.06630868006050455,0.27363216907736765,0.09394544981400275,0.5467052860246199,0.502534395365677,0.4496741491672701,2.027094747394426,0.04284463852380079,0.16116355567488183,0.027065092307487548,0.08680567092350994,0.3511421941385943,-0.14367966248319353,0.18837107381605522,0.6499999999999999,0.900108290512565,0.368833358001029,0.0440176125177596,0.5399346578945012,0.03381362653068609,0.42665951139187697,0.027065092307487548,0.3511421941385943,0.010381231536793933,0.16238987901190427,0.7999999999999999,0.0018189139593168969,0.28155048172783376,0.9483661619600654
cost_transmission_gap,成本传导缺口,industry_chain,extension,predictor,上游成本冲击相对下游价格变化的未传导部分,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processing_margin_anomaly,加工利润异常,industry_chain,extension,predictor,加工利润相对历史季节正常水平的异常,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warehouse_surprise,仓单新息,information_news,extension,predictor,注册仓单相对历史条件预期的标准化意外,positive,1.0,0.9685201461812463,1432,-0.00018684946242946045,0.002292963592222151,0.2048830597897025,-0.0009119810228393103,0.20504684983936916,0.011182632622829498,0.48812849162011174,0.47067039106145253,0.4615921787709497,0.2440704558630075,0.8072112407917249,-0.0424607938863516,-0.007616948026288539,0.07375497415797226,-0.06702537642451266,-0.15094580276443237,-0.050461476150984,0.6532634032634033,-0.1791466121958091,0.8579498738592248,0.008858037773278982,0.1562393487328179,-0.0010587549917810968,0.022259264498592668,-0.007616948026288539,-0.06702537642451266,-0.023828856960519174,-0.29007115616297763,0.39999999999999997,0.00041689912270196597,0.8840885018195083,0.9483661619600654
transmission_residual,产业链传导残差,industry_chain,extension,predictor,剥离上游滞后冲击和板块共同收益后的残差,mixed,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
momentum_quality_60,动量质量因子,trend_momentum,core,predictor,以趋势效率过滤中期动量路径噪声,positive,1.0,0.9986122033584679,1450,-0.004221317386190538,-0.006976181894073282,0.27845592595680385,-0.01515973262801159,0.26712727555875626,-0.026115573108290952,0.49448275862068963,0.4606896551724138,0.4806896551724138,-0.5575270925407846,0.5772534690103728,-0.15234222692200228,-0.028315608809370008,0.10042127609969796,-0.23551681786653614,-0.2438700781723181,-0.11610940145499218,0.544712643678161,-0.5753132488261615,0.5655271108386468,-0.014875780310313558,-0.09885040299066696,-0.022961302611010925,-0.18086012097847395,-0.028315608809370008,-0.23551681786653614,-0.041576323366120604,-0.37208811672540903,0.0,-0.00036639186796220405,0.7151716225977933,0.9483661619600654
vol_managed_momentum,波动率管理动量,trend_momentum,core,predictor,按短期风险缩放中期趋势方向,positive,1.0,0.9986122033584679,1450,-0.0025004723564345014,-0.0003985993838344873,0.1971731813332597,-0.012681604767578576,0.2232999983662652,-0.001785039797361258,0.5117241379310344,0.46482758620689657,0.45517241379310347,-0.03947900519594119,0.9685139303811577,0.0639145973244446,0.010825549707436766,0.06743260084462703,0.19316740515251637,-0.14875303143534213,0.07277532163868716,0.6443678160919539,0.4830364091429971,0.6294356005499064,0.027365943932870174,0.43377663525516874,0.017410288786164907,0.2894459505153606,0.010825549707436766,0.19316740515251637,-0.005454899766485721,-0.047646286235847254,0.6,0.001025663701320745,0.9685139303811576,0.9483661619600654
