trade_date,factor_id,gross_return,turnover,long_count,short_count,net_return_0bps,net_return_3bps,net_return_5bps,net_return_10bps
2020-01-10,basis_momentum_20,0.008180066328938208,0.8,5,5,0.008180066328938208,0.007940066328938207,0.007780066328938208,0.007380066328938208
2020-01-17,basis_momentum_20,0.004707824129272752,1.2000000000000002,5,5,0.004707824129272752,0.0043478241292727515,0.004107824129272752,0.0035078241292727515
2020-02-10,basis_momentum_20,0.0030113652570897048,1.8,5,5,0.0030113652570897048,0.0024713652570897047,0.002111365257089705,0.0012113652570897048
2020-02-17,basis_momentum_20,-0.0010239921915230598,1.4000000000000001,5,5,-0.0010239921915230598,-0.0014439921915230598,-0.00172399219152306,-0.0024239921915230602
2020-02-24,basis_momentum_20,0.0002853728377327336,1.0,5,5,0.0002853728377327336,-1.4627162267266377e-05,-0.0002146271622672664,-0.0007146271622672665
2020-03-09,basis_momentum_20,-0.029536354739300243,1.0,5,5,-0.029536354739300243,-0.029836354739300245,-0.030036354739300244,-0.030536354739300244
2020-03-16,basis_momentum_20,-0.0075370568893399995,0.8,5,5,-0.0075370568893399995,-0.007777056889339999,-0.007937056889339999,-0.00833705688934
2020-03-23,basis_momentum_20,-0.02806239845402857,1.2000000000000002,5,5,-0.02806239845402857,-0.02842239845402857,-0.02866239845402857,-0.02926239845402857
2020-03-30,basis_momentum_20,0.05625458710386428,0.8,5,5,0.05625458710386428,0.05601458710386428,0.05585458710386428,0.05545458710386428
2020-04-07,basis_momentum_20,0.0044901752689795685,1.6,5,5,0.0044901752689795685,0.004010175268979568,0.0036901752689795686,0.0028901752689795687
2020-04-14,basis_momentum_20,0.013361521760262708,0.8,5,5,0.013361521760262708,0.013121521760262708,0.012961521760262709,0.012561521760262708
2020-04-21,basis_momentum_20,-0.008608201287683583,0.8,5,5,-0.008608201287683583,-0.008848201287683584,-0.009008201287683582,-0.009408201287683583
2020-04-28,basis_momentum_20,0.005146492807892856,1.2000000000000002,5,5,0.005146492807892856,0.004786492807892856,0.004546492807892856,0.003946492807892856
