factor_id,horizon_days,ic_mean,rank_ic,date_count
sector_relative_value_60,5d_signal_delayed_1d,,-0.014545548668981577,1449
market_state_conditional,1,,,0
market_state_conditional,5,,,0
market_state_conditional,20,,,0
market_state_conditional,5d_signal_delayed_1d,,,0
product_state_interaction,1,,,0
product_state_interaction,5,,,0
product_state_interaction,20,,,0
product_state_interaction,5d_signal_delayed_1d,,,0
factor_momentum,1,-9.69340549462923e-19,,0
factor_momentum,5,4.819803576320657e-19,,0
factor_momentum,20,-7.525446390300073e-19,,0
factor_momentum,5d_signal_delayed_1d,,,0
fundamental_composite_news,1,0.0028422963844218284,0.009751501734982102,1200
fundamental_composite_news,5,0.00627228047823746,0.004655048769124616,1200
fundamental_composite_news,20,-0.01871577145845957,-0.012715458527984539,1200
fundamental_composite_news,5d_signal_delayed_1d,,0.0030219705036891396,1200
fundamental_underreaction,1,0.013494062973946347,0.019555425946748795,1200
fundamental_underreaction,5,0.017051490867220548,0.014150419047255024,1200
fundamental_underreaction,20,-0.006351664850424754,0.001123578675176424,1200
fundamental_underreaction,5d_signal_delayed_1d,,0.005293812451278081,1200
information_consistency,1,-5.0754084260790696e-05,0.0107419193783908,1384
information_consistency,5,0.005489832659305196,0.01840569254161049,1381
information_consistency,20,0.04685864941795053,0.05470295252457938,1289
information_consistency,5d_signal_delayed_1d,,0.016970767518625054,1379
information_divergence,1,0.004862121730876579,0.012965702106029103,1384
information_divergence,5,0.018913827639970338,0.025162297534297388,1381
information_divergence,20,0.05030192952749888,0.05351864271875236,1289
information_divergence,5d_signal_delayed_1d,,0.021599032486097906,1379
cost_transmission_gap,1,,,0
cost_transmission_gap,5,,,0
cost_transmission_gap,20,,,0
cost_transmission_gap,5d_signal_delayed_1d,,,0
processing_margin_anomaly,1,,,0
processing_margin_anomaly,5,,,0
processing_margin_anomaly,20,,,0
processing_margin_anomaly,5d_signal_delayed_1d,,,0
warehouse_surprise,1,0.0006221150504901901,0.002293716938846199,1436
warehouse_surprise,5,-0.00018684946242945486,0.0021298662043582697,1432
warehouse_surprise,20,-0.00897061852586255,-0.009855631466884486,1417
warehouse_surprise,5d_signal_delayed_1d,,0.0014354081485808976,1431
transmission_residual,1,,,0
transmission_residual,5,,,0
transmission_residual,20,,,0
transmission_residual,5d_signal_delayed_1d,,,0
momentum_quality_60,1,0.0009509305951363062,-0.0011805774913009528,1454
momentum_quality_60,5,-0.004221317386190543,-0.006988860928752145,1450
momentum_quality_60,20,-0.006695792070660204,0.001667053880595508,1435
momentum_quality_60,5d_signal_delayed_1d,,-0.006008831855300139,1449
vol_managed_momentum,1,0.0007095284086014224,0.002015771324868398,1454
vol_managed_momentum,5,-0.0025004723564345036,-0.00046611896337839297,1450
vol_managed_momentum,20,0.016428156680336644,0.0177655797735544,1435
vol_managed_momentum,5d_signal_delayed_1d,,-0.0015635177619080193,1449
idiosyncratic_volatility_60,1,0.008326177026495001,0.009367282969464116,1454
idiosyncratic_volatility_60,5,0.01662926406810782,0.015047528539929621,1450
idiosyncratic_volatility_60,20,0.0385910845152866,0.03888326155255059,1435
idiosyncratic_volatility_60,5d_signal_delayed_1d,,0.014699452315935425,1449
