factor_id,year,ic_mean,rank_ic,observations
basis_momentum_20,2023,-0.0894042307545578,-0.021870633527388935,238
basis_momentum_20,2024,-0.5107866710807705,-0.29227716727716724,4
curve_curvature,2019,0.04634940816384339,0.046752518886618744,244
curve_curvature,2020,-0.030103709758393105,-0.033372976899372686,243
curve_curvature,2021,-0.011898352447193145,-0.03175847319532297,243
curve_curvature,2022,0.0018191166943886318,-0.00695738429344709,242
curve_curvature,2023,0.042466236067570245,0.03197147173425852,242
curve_curvature,2024,-0.05316683682387392,-0.05360763226842395,236
value_252,2019,-0.025972810225753425,-0.0016190092777895154,244
value_252,2020,0.01346585962285721,0.018657076251858133,243
value_252,2021,0.0401652958090503,0.04759439195223229,243
value_252,2022,0.004339835528315265,0.006450398334115849,242
value_252,2023,0.018713654937594984,0.029381117947406513,242
value_252,2024,-0.023826399504186496,-0.025397462308879532,236
short_reversal_5,2019,-0.016706262016398247,0.0021024152262513252,244
short_reversal_5,2020,0.05194196808316968,0.02905521620580826,243
short_reversal_5,2021,0.028280674569243578,0.016098879630758352,243
short_reversal_5,2022,0.030075212940381863,0.03049195271657129,242
short_reversal_5,2023,-0.024372438053667123,-0.0063133302929982114,242
short_reversal_5,2024,0.06174353059682339,0.03850732174307391,236
inventory_scarcity,2019,0.01790551469916246,0.035215946843853825,215
inventory_scarcity,2020,0.05147599593681483,0.029366565741980943,237
inventory_scarcity,2021,0.02272723942334856,0.022241818538114837,243
inventory_scarcity,2022,-0.009436418680607687,-0.01953601953601953,234
inventory_scarcity,2023,-0.050116831373795724,-0.015905947441217153,241
inventory_scarcity,2024,-0.08381233624703681,-0.07010014306151646,233
inventory_change_5,2019,-0.002308406131782633,-0.01985796781586786,244
inventory_change_5,2020,0.05822656787284215,0.07404596718141097,241
inventory_change_5,2021,0.0021140421699463803,0.007716959265509419,243
inventory_change_5,2022,0.03194696443560425,0.028834717497993843,242
inventory_change_5,2023,-0.029276752844532194,0.01979170554068411,240
inventory_change_5,2024,0.02238128674627835,0.016693813494028424,234
inventory_surprise,2019,-0.11471825654759504,-0.14955357142857145,32
inventory_surprise,2020,-0.014114310359879303,0.010582010582010568,36
inventory_surprise,2021,-0.06575459722081582,-0.02426739926739928,52
inventory_surprise,2022,-0.09454060656751849,-0.043650793650793655,36
inventory_surprise,2023,0.03374770142868664,0.025238095238095247,50
inventory_surprise,2024,0.043962436938088725,0.030020703933747422,46
warehouse_tightness,2019,0.006650454871633878,0.0008256839519676522,240
warehouse_tightness,2020,0.053118862729264735,0.056415041465129205,238
warehouse_tightness,2021,0.022235420668547935,0.025418367054827185,240
warehouse_tightness,2022,0.01184584888493746,0.017967032477326922,239
warehouse_tightness,2023,0.0011224926128819528,-0.00644071583764062,239
warehouse_tightness,2024,0.0401090664319421,0.04799554121153031,233
tightness_composite,2019,-0.001978443832147292,0.0067692969177049365,240
tightness_composite,2020,0.06615879383239917,0.08177275667806468,238
tightness_composite,2021,0.014088881314265502,0.02556764757518028,240
tightness_composite,2022,0.03854487992414361,0.03443821190673174,239
tightness_composite,2023,0.004906309531989383,-0.011146630717729328,239
tightness_composite,2024,-0.08426076867900809,-0.03974023284368113,185
oi_growth_20,2019,0.027100215895819423,0.014994709572287218,244
oi_growth_20,2020,0.006762992573636878,0.015069754983319177,243
oi_growth_20,2021,0.025212645104741263,0.044213144431016156,243
oi_growth_20,2022,-0.02025934580828425,-0.013552249578930756,242
oi_growth_20,2023,-0.022194217307492634,-0.009907205068868826,242
oi_growth_20,2024,0.028707057298617923,0.03643506104081879,236
price_oi_interaction_20,2019,-0.00812986739111216,0.004296447564515987,244
price_oi_interaction_20,2020,0.014547507694322505,0.032048643400810414,243
price_oi_interaction_20,2021,0.014218763498255039,-0.004159954218228394,243
price_oi_interaction_20,2022,-0.03188487149962974,-0.03330027799712242,242
price_oi_interaction_20,2023,0.030965232726598974,0.02781276129263207,242
price_oi_interaction_20,2024,-0.012365635316851625,0.006149583230361671,236
volume_shock_20,2019,-0.024259332869314996,-0.02396216232349433,244
volume_shock_20,2020,0.0014127454040254723,-0.00957431532896719,243
volume_shock_20,2021,0.024074207575177937,0.0178433265947028,243
volume_shock_20,2022,0.029015605762619842,0.0310820146480112,242
volume_shock_20,2023,0.009296836576714691,0.008348780105208536,242
volume_shock_20,2024,0.008263035072048041,0.014670409921237845,236
amihud_20,2019,0.03449337309436618,0.041465809430395996,244
amihud_20,2020,0.012683179531570664,0.011107155462541127,243
amihud_20,2021,-0.01767888978702959,-0.03620005597906256,243
amihud_20,2022,-0.00417164531579265,-0.00020560288900427914,242
amihud_20,2023,-0.005880785505937598,0.0021082674484168185,242
amihud_20,2024,0.06185280571273128,0.0520329033708309,236
turnover_oi,2019,0.02941522576710554,0.0217439204442001,244
turnover_oi,2020,-0.04278681295750193,-0.04535911239566945,243
turnover_oi,2021,0.011127541251996787,0.019910039573002553,243
turnover_oi,2022,0.03813709854905695,0.01565125931112416,242
turnover_oi,2023,-0.02404146996409266,-0.017427190650408243,242
turnover_oi,2024,0.035216109190184794,0.050353521263139585,236
realized_volatility_20,2019,0.036688711281770786,0.027955043521652737,244
realized_volatility_20,2020,-0.0011197433485436135,0.0026657321305118367,243
realized_volatility_20,2021,0.011370541346180218,0.037385597122266113,243
realized_volatility_20,2022,0.0534205349817529,0.038975382635185775,242
realized_volatility_20,2023,0.046319400279229296,0.024079856082095136,242
realized_volatility_20,2024,-0.06662856374025125,-0.05631685043669996,236
low_volatility_20,2019,-0.03854783607968964,-0.027955043521652737,244
low_volatility_20,2020,-0.008776217897082885,-0.0026657321305118367,243
low_volatility_20,2021,-0.027191440010077245,-0.037385597122266113,243
low_volatility_20,2022,-0.046574947710353844,-0.038975382635185775,242
low_volatility_20,2023,-0.04275644151224889,-0.024079856082095136,242
low_volatility_20,2024,0.05291539529421506,0.05631685043669996,236
realized_skewness_60,2019,-0.028304117349652727,-0.032886526302497644,244
realized_skewness_60,2020,-0.0020939726713895893,-0.009804964209546522,243
realized_skewness_60,2021,-0.02162959126360974,-0.03842761355123946,243
realized_skewness_60,2022,-0.030461437571304588,-0.016183152318097156,242
realized_skewness_60,2023,0.024108345780781616,0.006962058360438833,242
realized_skewness_60,2024,0.006787704001983367,0.004627243546155891,236
seasonality_3y,2019,-0.0709795241680433,-0.06848189968561826,244
seasonality_3y,2020,0.02085347989407648,0.013131728362273819,243
seasonality_3y,2021,0.012050439249670173,0.01657480701547047,243
seasonality_3y,2022,-0.024211244931186048,-0.026070643397985035,242
seasonality_3y,2023,-0.003268273492459048,-0.0026683499164046084,242
seasonality_3y,2024,-0.02125111391059739,-0.015868994178092174,236
sector_relative_value_60,2019,-0.024546910051380474,0.0014436578821771116,244
sector_relative_value_60,2020,-0.021894457765007303,-0.02426748301363077,243
sector_relative_value_60,2021,0.008958292938510047,-0.000981764567524254,243
sector_relative_value_60,2022,-0.016947593543336904,-0.01579394417734169,242
sector_relative_value_60,2023,-0.009398905642335986,-0.0010069812022913747,242
sector_relative_value_60,2024,-0.011377806008671196,-0.025166766919910537,236
factor_momentum,2019,,,244
factor_momentum,2020,,,243
factor_momentum,2021,,,243
factor_momentum,2022,,,242
factor_momentum,2023,,,242
factor_momentum,2024,,,236
fundamental_composite_news,2019,-0.025261920837097003,-0.036206592391083245,241
fundamental_composite_news,2020,0.027816747081442793,0.030017222930441068,240
fundamental_composite_news,2021,-0.009979956939397036,-0.0032188317659744797,240
fundamental_composite_news,2022,0.05329599239675793,0.04039069826430901,239
fundamental_composite_news,2023,-0.013735032567436337,-0.005609599557997455,239
fundamental_composite_news,2024,-0.12103953767351916,-0.09797482211275313,1
fundamental_underreaction,2019,-0.009204194227769719,-0.011519586435098109,241
fundamental_underreaction,2020,0.04114042542919623,0.03455092822781622,240
fundamental_underreaction,2021,0.017523058177973724,0.020163198881845423,240
fundamental_underreaction,2022,0.0609153408699982,0.03768071545678011,239
fundamental_underreaction,2023,-0.02465551404912572,-0.011328747525419975,239
fundamental_underreaction,2024,-0.06533482635214677,0.028461959496442254,1
information_consistency,2019,-0.010585863309197818,0.0036996826637739253,240
information_consistency,2020,0.05757336215889696,0.07932402715873246,238
information_consistency,2021,0.017350208620356897,0.032999803924087114,240
information_consistency,2022,0.02927809710865576,0.029772516932092194,239
information_consistency,2023,-0.012433932364569297,-0.013713883699350721,239
information_consistency,2024,-0.06362270021530725,-0.03481135980729018,185
information_divergence,2019,0.000365495926964902,0.02313781248979459,240
information_divergence,2020,0.06170408712980075,0.07009074697830345,238
information_divergence,2021,0.0353930676393088,0.040895224895026616,240
information_divergence,2022,0.026427812363474336,0.029737233702029547,239
information_divergence,2023,0.009667789418859355,-0.0009128730728044568,239
information_divergence,2024,-0.031213409989064765,-0.01858311513483928,185
warehouse_surprise,2019,-0.020939848015614843,-0.026761006281310507,241
warehouse_surprise,2020,0.008794619209568701,0.019556406123874784,240
warehouse_surprise,2021,-0.009783053608401038,6.202339697803927e-05,240
warehouse_surprise,2022,0.03752193519725049,0.021018669746281877,239
warehouse_surprise,2023,0.004238004237474609,0.014528700606888085,239
warehouse_surprise,2024,-0.021306722436117354,-0.014898361465898468,233
momentum_quality_60,2019,0.0027474307523697875,-0.014198937177516748,244
momentum_quality_60,2020,0.027130297913629715,0.03475883387008829,243
momentum_quality_60,2021,-0.04637540955333932,-0.041554593915565596,243
momentum_quality_60,2022,0.005253346457484396,0.005643954572614509,242
momentum_quality_60,2023,-0.0017979601196724127,-0.01977207470664949,242
momentum_quality_60,2024,-0.012503918130743958,-0.006697238608494597,236
vol_managed_momentum,2019,-0.009737514002568604,-0.013248325479132402,244
vol_managed_momentum,2020,0.040568733132344124,0.0596110841012663,243
vol_managed_momentum,2021,-0.007546202984047381,0.0033642362801039657,243
vol_managed_momentum,2022,-0.0016174132795504586,-0.013143744207860256,242
vol_managed_momentum,2023,-0.024019343339187506,-0.024137674723420918,242
vol_managed_momentum,2024,-0.013008945866545803,-0.01536558119048573,236
