feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,fold_id,test_year,selected,selection_reason,max_abs_corr_vs_selected,min_train_rank_ic,max_pairwise_corr,prior_universe_size,selected_universe_size
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.0018886701538910532,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
value_252__csz,value_252,predictor,1,1,catalog,0.020335051787282808,fold_2021,2021,True,selected,0.4046365957055317,0.01,0.7,36,13
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.00801191709039457,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.014571069006475637,fold_2021,2021,True,selected,0.3908266053708669,0.01,0.7,36,13
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.011311125432962,fold_2021,2021,False,dropped_high_corr,0.7000048403194742,0.01,0.7,36,13
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.018327903265319585,fold_2021,2021,True,selected,0.18851400012304595,0.01,0.7,36,13
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.038755403050677456,fold_2021,2021,False,dropped_high_corr,0.7546932577722189,0.01,0.7,36,13
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03994815477591131,fold_2021,2021,False,dropped_high_corr,0.9995153121855385,0.01,0.7,36,13
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.00706100971940609,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.03531734447240563,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.010237656914306099,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.0038534373196934227,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.005892893309048622,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.03842474170943954,fold_2021,2021,False,dropped_high_corr,0.9726412179403218,0.01,0.7,36,13
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04277447165789398,fold_2021,2021,True,selected,0.0,0.01,0.7,36,13
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.010935109797634486,fold_2021,2021,True,selected,0.35112073803694716,0.01,0.7,36,13
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.019064477176898898,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.019269175108799434,fold_2021,2021,True,selected,0.3562449685677322,0.01,0.7,36,13
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.03470921318662121,fold_2021,2021,True,selected,0.504968604261406,0.01,0.7,36,13
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.015310380211460311,fold_2021,2021,True,selected,0.5494142311201654,0.01,0.7,36,13
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.021987415869406383,fold_2021,2021,True,selected,0.23392859039377156,0.01,0.7,36,13
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.005962147569796725,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.00867083492544265,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.01744055867739405,fold_2021,2021,True,selected,0.38250726512381245,0.01,0.7,36,13
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.014803281673091001,fold_2021,2021,True,selected,0.3218799441255308,0.01,0.7,36,13
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,-1,train_rank_ic,0.00718640002192,fold_2021,2021,False,dropped_weak_train_rank_ic,,0.01,0.7,36,13
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.03998048108987522,fold_2021,2021,True,selected,0.5962869719792774,0.01,0.7,36,13
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.0216957623613365,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.025475402418724216,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.007955849283817562,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.005844082486045067,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.02515892956268215,fold_2022,2022,False,dropped_high_corr,0.7326145767165664,0.01,0.7,36,12
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.0037466565858899075,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.029612968454991367,fold_2022,2022,True,selected,0.4520390249317432,0.01,0.7,36,12
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.009296367155944086,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.023718391587767198,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.006248559088138278,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
value_252__csz,value_252,predictor,1,1,catalog,0.024492099686385486,fold_2022,2022,True,selected,0.4203283976548833,0.01,0.7,36,12
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.008193593674733737,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.014621142904217552,fold_2022,2022,True,selected,0.36534917615586404,0.01,0.7,36,12
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.008802689937680915,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.012309595715059449,fold_2022,2022,True,selected,0.3790434292711465,0.01,0.7,36,12
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.03596412254002334,fold_2022,2022,True,selected,0.4464494750486694,0.01,0.7,36,12
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03588351195270226,fold_2022,2022,False,dropped_high_corr,0.7240263775393608,0.01,0.7,36,12
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.006406872253012147,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.020812990934055753,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.008290023988388002,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.0020641713146360356,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.0072774620852350735,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.03554316772244577,fold_2022,2022,False,dropped_high_corr,0.706303944731941,0.01,0.7,36,12
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04090511270920501,fold_2022,2022,True,selected,0.0,0.01,0.7,36,12
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.00936352388697477,fold_2022,2022,False,dropped_weak_train_rank_ic,,0.01,0.7,36,12
