rank,feature_name,source_factor,usage_type,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_sharpe,net_3bps_annual_return,net_3bps_sharpe,net_5bps_annual_return,net_5bps_sharpe,net_10bps_annual_return,net_10bps_sharpe,strategy_days,strategy_coverage,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
11,basis_fresh__csz,basis_fresh,predictor,0.028522075259036057,0.5571192052980133,0.12925912957741112,0.03697827388545423,0.0797838283931106,0.46348081597758145,-0.14873202174640388,0.21701383955033227,0.5255972696245734,0.03697827388545423,0.46348081597758145,0.006738273885454234,0.08445663765661174,-0.013421726114545778,-0.16822614789070156,-0.06382172611454578,-0.7999331117589846,293,0.20206896551724138,6,5,4
12,warehouse_tightness__csz,warehouse_tightness,predictor,0.02300171022550479,0.5402379286214136,0.11267873825302563,0.0538490231751872,0.06477162468440065,0.8313674921320291,-0.05656705496700121,0.350879624963083,0.5494880546075085,0.0538490231751872,0.8313674921320291,0.0236090231751872,0.36449638696299536,0.0034490231751871914,0.053248983516972694,-0.0469509768248128,-0.7248695250980836,293,0.20206896551724138,6,5,5
13,information_divergence__csz,information_divergence,predictor,0.02273542119134124,0.5387299371946964,0.10596712878656207,0.021334256484151937,0.0750345514698775,0.284325768145846,-0.1249419770829383,0.11372257502150873,0.515358361774744,0.021334256484151937,0.284325768145846,-0.00890574351584805,-0.11868856868456458,-0.029065743515848053,-0.38736479323817175,-0.07946574351584805,-1.0590553546221897,293,0.20206896551724138,6,5,3
14,inventory_price_divergence__csz,inventory_price_divergence,predictor,0.021434069763360892,0.5457063711911357,0.11558397395545011,0.018264574046312713,0.05828868805062726,0.3133468029070894,-0.10478148975182944,0.10111546382961567,0.5426621160409556,0.018264574046312713,0.3133468029070894,-0.011975425953687282,-0.20545025723148716,-0.0321354259536873,-0.5513149639905386,-0.08253542595368729,-1.4159767308881663,293,0.20206896551724138,6,5,3
15,term_structure_slope__csz,term_structure_slope,predictor,0.02037209253028122,0.5462068965517242,0.07698023720515047,0.01091600809634811,0.10183782352174331,0.10719011580228285,-0.23206588785966664,0.03369286720016107,0.5051194539249146,0.01091600809634811,0.10719011580228285,-0.01932399190365188,-0.18975260110037637,-0.0394839919036519,-0.3877144123688161,-0.08988399190365189,-0.8826189405399149,293,0.20206896551724138,6,4,3
16,nonlinear_tightness__csz,nonlinear_tightness,predictor,0.019708918424492128,0.5240753663642708,0.09217210547566058,0.03940137929166865,0.07311765326410895,0.5388764208466398,-0.1107782101880107,0.23795092956340236,0.5290102389078498,0.03940137929166865,0.5388764208466398,0.009161379291668657,0.12529640767567793,-0.010998620708331353,-0.15042360110496347,-0.061398620708331346,-0.8397236230565664,293,0.20206896551724138,6,4,4
17,tightness_composite__csz,tightness_composite,predictor,0.019373073794236473,0.5247732030704815,0.09063754303261787,0.038287505792531075,0.07314123622951496,0.5234735939161057,-0.1107782101880107,0.22995429243956322,0.5255972696245734,0.038287505792531075,0.5234735939161057,0.008047505792531084,0.1100269315557951,-0.012112494207468929,-0.16560417668441224,-0.06251249420746892,-0.8546819472849301,293,0.20206896551724138,6,4,4
18,information_consistency__csz,information_consistency,predictor,0.01896047186285729,0.5366364270760642,0.08835765420681296,0.023535927002418577,0.07318868264325769,0.32157877628620996,-0.10287100188757958,0.1288690458018662,0.5494880546075085,0.023535927002418577,0.32157877628620996,-0.006704072997581426,-0.09159985882324145,-0.02686407299758144,-0.36705228222954256,-0.07726407299758144,-1.0556833407452948,293,0.20206896551724138,6,4,5
19,short_reversal_5__csz,short_reversal_5,predictor,0.018175684807703246,0.5262068965517241,0.06619445004365174,0.046888404437051966,0.10710351727114698,0.43778585084510024,-0.20263629647950876,0.27074728476800725,0.5426621160409556,0.046888404437051966,0.43778585084510024,0.016648404437051956,0.15544218211717808,-0.003511595562948057,-0.03278693036810341,-0.05391159556294805,-0.5033597115813068,293,0.20206896551724138,6,5,4
20,inventory_acceleration__csz,inventory_acceleration,predictor,0.017769149150579602,0.5440666204024983,0.09851052624830596,0.012899896910849546,0.06603797987084054,0.19534057425862558,-0.15015042163938042,0.06427623142716055,0.5494880546075085,0.012899896910849546,0.19534057425862558,-0.017340103089150447,-0.2625777336475896,-0.03750010308915047,-0.5678566055850667,-0.08790010308915046,-1.3310537854287587,293,0.20206896551724138,6,5,4
21,term_structure_acceleration__csz,term_structure_acceleration,predictor,0.01589838598678726,0.5344827586206896,0.06980576544587871,0.010657581312996997,0.08354338522904284,0.12756942137044286,-0.1881100906554939,0.04264707554667124,0.5051194539249146,0.010657581312996997,0.12756942137044286,-0.019582418687003,-0.23439819482195715,-0.03974241868700301,-0.47570993895022406,-0.090142418687003,-1.0789892992708907,293,0.20206896551724138,6,5,4
