feature_name,fold_id,test_year,rank_ic_mean,rank_ic_hit_rate,gross_sharpe,net_5bps_sharpe,gross_annual_return,strategy_days,applied_direction,direction_source
csmom_60__csz,fold_2021,2021,-0.046441190737256076,0.448559670781893,-1.3192874979053753,-1.6809727178950302,-0.18383966559742965,49,1,catalog
csmom_60__csz,fold_2022,2022,0.014636734229702181,0.5165289256198347,0.3742446076964922,-0.04230407299244791,0.04528144992971051,49,1,catalog
csmom_60__csz,fold_2023,2023,-0.021423939862009505,0.47520661157024796,-0.27927301511729424,-0.9016445441722305,-0.022615687422727872,49,1,catalog
csmom_60__csz,fold_2024,2024,-0.009724435110746487,0.461864406779661,-0.5555890654573148,-0.9156852442891039,-0.07776169408376045,48,1,catalog
csmom_60__missing,fold_2019,2019,-0.0834315026509712,0.3888888888888889,-0.664343325759789,-1.6971890253662358,-0.03241810817535633,49,1,catalog
csmom_60__missing,fold_2020,2020,0.026619606259202414,0.5238095238095238,-0.600840425812582,-1.3281985671128338,-0.04163335190944628,49,1,catalog
csmom_60__missing,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,1,catalog
csmom_60__missing,fold_2022,2022,,,-0.23159866448807973,-1.1205232092888318,-0.013131117549257876,49,1,catalog
csmom_60__missing,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,1,catalog
csmom_60__missing,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,1,catalog
curve_curvature__csz,fold_2019,2019,-0.03785317706577882,0.45491803278688525,-0.8460538158764539,-1.7119240462456498,-0.049246539290294884,49,-1,train_rank_ic
curve_curvature__csz,fold_2020,2020,-0.03230110888242364,0.45267489711934156,-0.93293123640036,-1.6371403562969364,-0.06676956174819733,49,1,train_rank_ic
curve_curvature__csz,fold_2021,2021,0.030606772896491646,0.5473251028806584,0.5808534875274916,0.06042996122197165,0.056252291242881634,49,-1,train_rank_ic
curve_curvature__csz,fold_2022,2022,0.006520090422269295,0.512396694214876,1.1090680973186908,0.40150656714998806,0.07899953533586619,49,-1,train_rank_ic
curve_curvature__csz,fold_2023,2023,-0.031179784894406162,0.4132231404958678,-1.886197874883343,-2.80579608942321,-0.10337598680711577,49,-1,train_rank_ic
curve_curvature__csz,fold_2024,2024,0.04957468548561567,0.6059322033898306,2.0079856150892392,1.3802935198453654,0.1612294877812314,48,-1,train_rank_ic
curve_curvature__missing,fold_2019,2019,0.04235003183626382,0.5967078189300411,-0.3668042365802609,-1.4032557132419234,-0.017836757378348538,49,-1,train_rank_ic
curve_curvature__missing,fold_2020,2020,-0.027754900490253948,0.42727272727272725,-1.3129029771226415,-2.150616133572878,-0.0789892214745369,49,-1,train_rank_ic
curve_curvature__missing,fold_2021,2021,-0.0006448476377416338,0.475,1.3181080276309138,0.4724982314421597,0.07856181999311797,49,-1,train_rank_ic
curve_curvature__missing,fold_2022,2022,-0.016945774761692532,0.43386243386243384,-0.3752419546657241,-1.225429319982439,-0.02224473720343663,49,-1,train_rank_ic
curve_curvature__missing,fold_2023,2023,-0.01129833788809397,0.4690265486725664,-0.2727919004518191,-1.343509217070212,-0.0128406551097854,49,-1,train_rank_ic
curve_curvature__missing,fold_2024,2024,0.05901014492055264,0.6217616580310881,0.939698908971783,0.0011233306827009846,0.050460321052153645,48,-1,train_rank_ic
factor_momentum__missing,fold_2019,2019,,,-0.7070601155372856,-1.7333557918463074,-0.03472277107435569,49,1,train_rank_ic
factor_momentum__missing,fold_2020,2020,,,-0.559844200785543,-1.3344799000352305,-0.03642505470238662,49,1,train_rank_ic
factor_momentum__missing,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,1,train_rank_ic
factor_momentum__missing,fold_2022,2022,,,-0.23159866448807973,-1.1205232092888318,-0.013131117549257876,49,1,train_rank_ic
factor_momentum__missing,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,1,train_rank_ic
factor_momentum__missing,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,1,train_rank_ic
factor_momentum__tsz,fold_2019,2019,,,-0.7070601155372856,-1.7333557918463074,-0.03472277107435569,49,1,train_rank_ic
factor_momentum__tsz,fold_2020,2020,,,-0.559844200785543,-1.3344799000352305,-0.03642505470238662,49,1,train_rank_ic
factor_momentum__tsz,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,1,train_rank_ic
factor_momentum__tsz,fold_2022,2022,,,-0.23159866448807973,-1.1205232092888318,-0.013131117549257876,49,1,train_rank_ic
factor_momentum__tsz,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,1,train_rank_ic
factor_momentum__tsz,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,1,train_rank_ic
fundamental_composite_news__csz,fold_2019,2019,-0.032925998656997836,0.4669421487603306,-2.024128432858836,-3.1176016114636114,-0.09329545069066396,49,1,catalog
fundamental_composite_news__csz,fold_2020,2020,0.02501611805532134,0.5560165975103735,0.7550438191170427,0.014824726200375416,0.051409385204527605,49,1,catalog
fundamental_composite_news__csz,fold_2021,2021,-0.00628867324732715,0.46887966804979253,-0.6135848511140115,-1.2577004947298824,-0.04801106261376354,49,1,catalog
fundamental_composite_news__csz,fold_2022,2022,0.03727798009966416,0.5916666666666667,1.4015545394259226,0.49522079111613937,0.0779385617260745,49,1,catalog
fundamental_composite_news__csz,fold_2023,2023,-0.005362272698790717,0.4666666666666667,-0.2001313894238394,-1.1888755020824369,-0.010201448380653273,49,1,catalog
fundamental_composite_news__csz,fold_2024,2024,0.025307360950882152,0.5,-0.6351483522458548,-1.8257884548822731,-0.02688593881753898,48,1,catalog
fundamental_composite_news__missing,fold_2019,2019,0.04625950304006173,0.5661157024793388,1.0023147558588916,0.31054308475647735,0.07302505408292344,49,1,catalog
fundamental_composite_news__missing,fold_2020,2020,0.011503924245098027,0.48132780082987553,-0.3394766309405334,-0.9472806756460251,-0.02814989855438238,49,1,catalog
fundamental_composite_news__missing,fold_2021,2021,0.010819404974304564,0.5103734439834025,0.7529161257003294,0.20078544237938167,0.0687282447464316,49,1,catalog
fundamental_composite_news__missing,fold_2022,2022,0.027418243059297846,0.4875,0.48845157698275743,0.009907188854489497,0.05144341902371751,49,1,catalog
fundamental_composite_news__missing,fold_2023,2023,0.07233220389699853,0.5833333333333334,0.7518995614697039,-0.04452485523969106,0.047582340650287665,49,1,catalog
fundamental_composite_news__missing,fold_2024,2024,-0.06722982010265051,0.4166666666666667,-0.8333152051994304,-2.0007640966587914,-0.0359750963398069,48,1,catalog
fundamental_underreaction__csz,fold_2019,2019,-0.008782487763739782,0.4669421487603306,-0.6595358384461696,-1.6383911305342198,-0.03395865203607327,49,1,catalog
fundamental_underreaction__csz,fold_2020,2020,0.029550516771579004,0.5643153526970954,0.3014477091257689,-0.3135423474924351,0.024704406805345802,49,1,catalog
fundamental_underreaction__csz,fold_2021,2021,0.017197823525020025,0.5186721991701245,-0.9226259222207276,-1.4007833179924347,-0.09724903743228094,49,1,catalog
fundamental_underreaction__csz,fold_2022,2022,0.03007004528457807,0.5833333333333334,1.3211732633157298,0.7082310213710946,0.10863524801269508,49,1,catalog
fundamental_underreaction__csz,fold_2023,2023,-0.006628702308271831,0.45,-0.9251049193904339,-1.946898656852551,-0.04563082178706983,49,1,catalog
