rank,feature_name,source_factor,source_factor_id,usage_type,category,catalog_direction,direction_source_modes,applied_direction_modes,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
21,term_structure_acceleration__csz,term_structure_acceleration,46,predictor,term_structure,1,catalog,1,0.011677446270889402,0.01589838598678726,0.5344827586206896,0.06980576544587871,1450,43234,1450,293,-0.9504366923239429,0.6680226316353136,0.20206896551724138,0.010657581312996997,0.08354338522904284,0.12756942137044286,-0.1881100906554939,0.04264707554667124,0.5051194539249146,0.010657581312996997,0.08354338522904284,0.12756942137044286,-0.1881100906554939,0.04264707554667124,0.5051194539249146,-0.019582418687003,0.08354338522904284,-0.23439819482195715,-0.25231620456950277,-0.12547732962776004,0.48464163822525597,-0.03974241868700301,0.08354338522904282,-0.47570993895022406,-0.31476092520123133,-0.2222594237932476,0.44368600682593856,-0.090142418687003,0.08354338522904282,-1.0789892992708907,-0.4571742565701138,-0.4200311296511259,0.3890784982935154,6,5,4
22,idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60,43,risk,volatility_risk,0,train_rank_ic,1,0.02180760037595053,0.015057300651098495,0.5337931034482759,0.057174755926592394,1450,43234,1450,293,-0.9700019994996549,0.6773072983004104,0.20206896551724138,0.019234056043085455,0.09986235917601555,0.19260566445445043,-0.1947844089871762,0.0864168375743195,0.5085324232081911,0.019234056043085455,0.09986235917601555,0.19260566445445043,-0.1947844089871762,0.0864168375743195,0.5085324232081911,-0.011005943956914559,0.09986235917601555,-0.11021113508359727,-0.2655361868331848,-0.08874766074682583,0.4880546075085324,-0.031165943956914566,0.09986235917601555,-0.31208900144229573,-0.3092367776196827,-0.18958408224175882,0.4778156996587031,-0.08156594395691455,0.09986235917601555,-0.8167836673390415,-0.4380865788157833,-0.3956452277892464,0.447098976109215,6,4,3
23,curve_curvature__missing,curve_curvature,10,quality_flag,data_quality,0,train_rank_ic,-1,0.01720471222304463,0.014535259632342284,0.5206611570247934,0.062331637598929526,968,43234,1450,293,-0.16417257721451106,0.5443876377070399,0.20206896551724138,-0.000655401354857029,0.055014450826098134,-0.011913258153367138,-0.14863267606705266,-0.012502639832752682,0.4778156996587031,-0.000655401354857029,0.055014450826098134,-0.011913258153367138,-0.14863267606705266,-0.012502639832752682,0.4778156996587031,-0.030895401354857025,0.055014450826098134,-0.5615870174278039,-0.20094835813561607,-0.17175563555092654,0.4539249146757679,-0.05105540135485705,0.055014450826098134,-0.9280361902774287,-0.2831183261580448,-0.26342884912610276,0.4402730375426621,-0.10145540135485703,0.055014450826098134,-1.84415912240149,-0.45977291166748824,-0.4507552213374554,0.378839590443686,6,2,2
24,realized_skewness_60__csz,realized_skewness_60,26,risk,volatility_risk,-1,catalog,-1,0.01343661473963332,0.01439088020871298,0.5413793103448276,0.06385815850776119,1450,43234,1450,293,-0.9713699435019933,0.6817498798580657,0.20206896551724138,0.011903944186116905,0.07963782979336956,0.14947599924562482,-0.14851922604929169,0.05213316761110165,0.5051194539249146,0.011903944186116905,0.07963782979336956,0.14947599924562482,-0.14851922604929169,0.05213316761110165,0.5051194539249146,-0.018336055813883072,0.07963782979336956,-0.2302430372783675,-0.19454973915519158,-0.11751510677817023,0.4948805460750853,-0.038496055813883094,0.07963782979336956,-0.4833890616276962,-0.2642499143054309,-0.21517496031432326,0.47440273037542663,-0.08889605581388309,0.07963782979336956,-1.1162541225010172,-0.4309229042712007,-0.4147418115549585,0.45051194539249145,6,4,2
25,information_consistency__missing,information_consistency,35,quality_flag,data_quality,1,catalog,1,0.015809574474129662,0.013588715271614503,0.520586182833217,0.0603950854550321,1433,43234,1450,293,-0.3157452579734794,0.5629496630974475,0.20206896551724138,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,-0.019600323034611056,0.07515376358562378,-0.26080294717749064,-0.17445578089185887,-0.1221850749662291,0.48464163822525597,-0.039760323034611064,0.07515376358562378,-0.5290529860066362,-0.25532011181167535,-0.2193291351732225,0.4709897610921502,-0.09016032303461105,0.07515376358562378,-1.1996780830794997,-0.4412903565133903,-0.41784153276001834,0.42662116040955633,6,4,4
26,information_divergence__missing,information_divergence,36,quality_flag,data_quality,0,train_rank_ic,1,0.015809574474129662,0.013588715271614503,0.520586182833217,0.0603950854550321,1433,43234,1450,293,-0.3157452579734794,0.5629496630974475,0.20206896551724138,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,-0.019600323034611056,0.07515376358562378,-0.26080294717749064,-0.17445578089185887,-0.1221850749662291,0.48464163822525597,-0.039760323034611064,0.07515376358562378,-0.5290529860066362,-0.25532011181167535,-0.2193291351732225,0.4709897610921502,-0.09016032303461105,0.07515376358562378,-1.1996780830794997,-0.4412903565133903,-0.41784153276001834,0.42662116040955633,6,4,4
27,nonlinear_tightness__missing,nonlinear_tightness,55,quality_flag,data_quality,1,catalog,1,0.015809574474129662,0.013588715271614503,0.520586182833217,0.0603950854550321,1433,43234,1450,293,-0.3157452579734794,0.5629496630974475,0.20206896551724138,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,-0.019600323034611056,0.07515376358562378,-0.26080294717749064,-0.17445578089185887,-0.1221850749662291,0.48464163822525597,-0.039760323034611064,0.07515376358562378,-0.5290529860066362,-0.25532011181167535,-0.2193291351732225,0.4709897610921502,-0.09016032303461105,0.07515376358562378,-1.1996780830794997,-0.4412903565133903,-0.41784153276001834,0.42662116040955633,6,4,4
28,tightness_composite__missing,tightness_composite,17,quality_flag,data_quality,1,catalog,1,0.015809574474129662,0.013588715271614503,0.520586182833217,0.0603950854550321,1433,43234,1450,293,-0.3157452579734794,0.5629496630974475,0.20206896551724138,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,0.010639676965388955,0.07515376358562378,0.1415721110662278,-0.11423171275692334,0.0465674721395235,0.5187713310580204,-0.019600323034611056,0.07515376358562378,-0.26080294717749064,-0.17445578089185887,-0.1221850749662291,0.48464163822525597,-0.039760323034611064,0.07515376358562378,-0.5290529860066362,-0.25532011181167535,-0.2193291351732225,0.4709897610921502,-0.09016032303461105,0.07515376358562378,-1.1996780830794997,-0.4412903565133903,-0.41784153276001834,0.42662116040955633,6,4,4
29,inventory_change_5__csz,inventory_change_5,14,predictor,inventory_fundamental,1,catalog,1,0.011448670346340029,0.013036180251881729,0.5277008310249307,0.07076634335983915,1444,43234,1450,293,-0.5672666923679146,0.6207921965738531,0.20206896551724138,0.021955064846447638,0.05828825950894827,0.37666358596755073,-0.10095780101877416,0.12497708230529092,0.5460750853242321,0.021955064846447638,0.05828825950894827,0.37666358596755073,-0.10095780101877416,0.12497708230529092,0.5460750853242321,-0.008284935153552362,0.05828825950894827,-0.14213728842393175,-0.13051422735079243,-0.056373955208247395,0.5119453924914675,-0.02844493515355238,0.05828825950894827,-0.48800453801825366,-0.18357372939617755,-0.1607745953837223,0.49829351535836175,-0.07884493515355236,0.05828825950894827,-1.3526726620040577,-0.3851648097171516,-0.3741270942975138,0.4300341296928328,6,4,4
30,term_structure_momentum__csz,term_structure_momentum,45,predictor,term_structure,1,catalog,1,0.012812570462260026,0.012759894667376023,0.54,0.05383860377104476,1450,43234,1450,293,-0.9623662178796852,0.6693921501772362,0.20206896551724138,0.0010504144338997798,0.08851680165647992,0.011866836738817976,-0.21649718166818976,-0.01652680827980557,0.5085324232081911,0.0010504144338997798,0.08851680165647992,0.011866836738817976,-0.21649718166818976,-0.01652680827980557,0.5085324232081911,-0.029189585566100223,0.08851680165647992,-0.329763220313591,-0.277488199440159,-0.17513982841217635,0.49146757679180886,-0.04934958556610023,0.08851680165647992,-0.5575165916818638,-0.33419573792137147,-0.26644381162291086,0.46757679180887374,-0.09974958556610022,0.08851680165647992,-1.1269000201025454,-0.48004242947365927,-0.45301340069299845,0.4197952218430034,6,5,3
