feature_name,fold_id,test_year,catalog_direction,applied_direction,direction_source,train_start,train_end,train_rows,test_rows,score_transform,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate
inventory_price_divergence__csz,fold_2021,2021,1,1,catalog,2015-01-05,2020-12-23,40574,7287,cs_rank_centered,0.010985852632150604,0.010464176177068886,0.5185185185185185,0.05897152780451121,243,7287,243,49,-0.6865067241815883,0.6438133635646447,0.20164609053497942,-0.02667171542429593,0.061197675259724464,-0.435828898909975,-0.08861068565818908,-0.027341774254577178,0.46938775510204084,-0.02667171542429593,0.061197675259724464,-0.435828898909975,-0.08861068565818908,-0.027341774254577178,0.46938775510204084,-0.05691171542429591,0.061197675259724464,-0.9299653162111335,-0.11061539428025913,-0.055546722285445216,0.46938775510204084,-0.07707171542429594,0.061197675259724464,-1.2593895944119062,-0.12582652410156892,-0.07390326116220702,0.42857142857142855,-0.12747171542429594,0.061197675259724464,-2.0829502899138377,-0.16275125269638013,-0.1182791808647008,0.3673469387755102
inventory_price_divergence__csz,fold_2022,2022,1,1,catalog,2015-01-05,2021-12-23,47861,7252,cs_rank_centered,0.01466008973545493,0.02090790544371716,0.5743801652892562,0.11849418027142468,242,7252,242,49,-0.6681202222717524,0.6372942133849945,0.2024793388429752,0.07249691495294087,0.06460927690856709,1.1220821284772484,-0.06501681949744653,0.07084386746353233,0.6122448979591837,0.07249691495294087,0.06460927690856709,1.1220821284772484,-0.06501681949744653,0.07084386746353233,0.6122448979591837,0.04225691495294088,0.06460927690856709,0.65403788704742,-0.06897452044214591,0.0398516370504729,0.5918367346938775,0.022096914952940878,0.06460927690856709,0.3420083927608678,-0.07168830595835551,0.019680109466015727,0.5714285714285714,-0.028303085047059136,0.06460927690856709,-0.43806534295551286,-0.07959455418514116,-0.02908664554716689,0.5102040816326531
inventory_price_divergence__csz,fold_2023,2023,1,1,catalog,2015-01-05,2022-12-22,55113,7259,cs_rank_centered,0.009420900144592922,0.013145965870086167,0.5375,0.07483290669618231,240,7259,242,49,-0.6762501599658903,0.6394636995555714,0.2024793388429752,-0.049259698350191054,0.04906840425747224,-1.0038985187232716,-0.06721367075451734,-0.04788056767842497,0.5102040816326531,-0.049259698350191054,0.04906840425747224,-1.0038985187232716,-0.06721367075451734,-0.04788056767842497,0.5102040816326531,-0.07949969835019105,0.04906840425747224,-1.6201810422250418,-0.08883249778334656,-0.07550143936115772,0.4489795918367347,-0.09965969835019105,0.04906840425747224,-2.031036057892889,-0.10302171326179643,-0.09347766243893951,0.3877551020408163,-0.15005969835019106,0.04906840425747224,-3.058173597062506,-0.13916644058848882,-0.13693357283813157,0.3673469387755102
inventory_price_divergence__csz,fold_2024,2024,1,1,catalog,2015-01-05,2023-12-21,62372,7076,cs_rank_centered,0.03583843157909056,0.03322489639587542,0.5512820512820513,0.18860157200957628,234,7076,236,48,-0.6425980960596982,0.6287972149846187,0.2033898305084746,0.13115314329954486,0.047398916672042046,2.767007191472474,-0.021026941083557293,0.13168041217771398,0.625,0.13115314329954486,0.047398916672042046,2.767007191472474,-0.021026941083557293,0.13168041217771398,0.625,0.10091314329954489,0.047398916672042046,2.1290179266706293,-0.02514374465460789,0.09962424057339425,0.625,0.08075314329954486,0.047398916672042046,1.7036917501360662,-0.0278800288352804,0.07874920805450847,0.5833333333333334,0.030353143299544874,0.047398916672042046,0.6403763087996585,-0.034691955390784956,0.02824450822782132,0.5625
inventory_price_divergence__missing,fold_2019,2019,1,1,catalog,2015-01-05,2018-12-20,26220,7092,cs_rank_centered,-0.02399302208510925,-0.02592427376261962,0.4139344262295082,-0.11484402191540517,244,7092,244,49,-0.72029471273935,0.6467340825554062,0.20081967213114754,-0.02868384969238423,0.048122780844559856,-0.5960555310599193,-0.060037084335539004,-0.028581309498382335,0.42857142857142855,-0.02868384969238423,0.048122780844559856,-0.5960555310599193,-0.060037084335539004,-0.028581309498382335,0.42857142857142855,-0.05892384969238421,0.048122780844559856,-1.224448144065336,-0.07383187189124141,-0.056750649069349346,0.40816326530612246,-0.07908384969238423,0.048122780844559856,-1.6433765527356143,-0.08740354140858986,-0.0750840074170398,0.3469387755102041,-0.12948384969238425,0.048122780844559856,-2.69069757441131,-0.12853292802690341,-0.11940387068904057,0.32653061224489793
inventory_price_divergence__missing,fold_2020,2020,1,1,catalog,2015-01-05,2019-12-23,33306,7268,cs_rank_centered,-0.00944560519256813,-0.012793509262008762,0.44398340248962653,-0.053024338357845945,241,7268,243,49,-0.6835842704207278,0.637748607361981,0.20164609053497942,-0.06565340587695973,0.0757884138437508,-0.8662723303896304,-0.13581141861879542,-0.0644480798959165,0.40816326530612246,-0.06565340587695973,0.0757884138437508,-0.8662723303896304,-0.13581141861879542,-0.0644480798959165,0.40816326530612246,-0.09589340587695974,0.0757884138437508,-1.2652779100860774,-0.1456858235480306,-0.09159879000725335,0.3877551020408163,-0.11605340587695975,0.0757884138437508,-1.5312816298837086,-0.15220927427786768,-0.10926885654310925,0.3877551020408163,-0.16645340587695975,0.0757884138437508,-2.1962909293777866,-0.16831206565109091,-0.15198410235797521,0.3469387755102041
inventory_price_divergence__missing,fold_2021,2021,1,1,catalog,2015-01-05,2020-12-23,40574,7287,cs_rank_centered,-0.001061020471306995,0.0016484891975086405,0.4732510288065844,0.007294949741527476,243,7287,243,49,-0.6648048491980221,0.6352645003146842,0.20164609053497942,0.07790777292421645,0.08106493987745152,0.9610538543788739,-0.06448193334447783,0.07527339469122207,0.5918367346938775,0.07790777292421645,0.08106493987745152,0.9610538543788739,-0.06448193334447783,0.07527339469122207,0.5918367346938775,0.047667772924216464,0.08106493987745152,0.5880195926411268,-0.06955938366515169,0.04415485287388354,0.5306122448979592,0.027507772924216446,0.08106493987745152,0.3393300848159616,-0.07293072756372854,0.02390108415812553,0.5102040816326531,-0.022892227075783523,0.08106493987745152,-0.2823936847469503,-0.0822237460926053,-0.02506459961807017,0.3877551020408163
inventory_price_divergence__missing,fold_2022,2022,1,1,catalog,2015-01-05,2021-12-23,47861,7252,cs_rank_centered,0.0044084583573168095,0.002936824139367279,0.5247933884297521,0.013630442155966567,242,7252,242,49,-0.6618513939109432,0.6343104942682705,0.2024793388429752,0.022612676879705716,0.06982526798243632,0.32384661789473773,-0.04417406421516834,0.01985377246744302,0.5102040816326531,0.022612676879705716,0.06982526798243632,0.32384661789473773,-0.04417406421516834,0.01985377246744302,0.5102040816326531,-0.0076273231202942755,0.06982526798243634,-0.10923442674380904,-0.05956457590612352,-0.009691888392769243,0.5102040816326531,-0.027787323120294288,0.06982526798243634,-0.3979551231695071,-0.06969204141524277,-0.028921441887861277,0.4897959183673469,-0.07818732312029428,0.06982526798243632,-1.1197568642337519,-0.09455334096829038,-0.07540931676680607,0.40816326530612246
inventory_price_divergence__missing,fold_2023,2023,1,1,catalog,2015-01-05,2022-12-22,55113,7259,cs_rank_centered,0.011470573474560044,0.0013634194477215042,0.5083333333333333,0.0061027154847940095,240,7259,242,49,-0.6596771144003009,0.6353909568349668,0.2024793388429752,-0.058400611651223344,0.03459256124083309,-1.6882419097169137,-0.056305697935573606,-0.055767266610971866,0.4489795918367347,-0.058400611651223344,0.03459256124083309,-1.6882419097169137,-0.056305697935573606,-0.055767266610971866,0.4489795918367347,-0.08864061165122333,0.03459256124083309,-2.562418290860518,-0.08028569995145118,-0.08316360987794924,0.40816326530612246,-0.10880061165122336,0.03459256124083309,-3.1452025449562555,-0.0978096861344383,-0.10099363727330879,0.3469387755102041,-0.15920061165122332,0.03459256124083309,-4.602163180195596,-0.1402017615852894,-0.1440959036182744,0.2653061224489796
inventory_price_divergence__missing,fold_2024,2024,1,1,catalog,2015-01-05,2023-12-21,62372,7076,cs_rank_centered,-0.07681705874020359,-0.0787477023783273,0.37606837606837606,-0.27400677545865904,234,7076,236,48,-0.7892358618681063,0.659386106833525,0.2033898305084746,-0.11332055355488795,0.06358590610019116,-1.7821646415847376,-0.11709897178039252,-0.10411183757381148,0.4166666666666667,-0.11332055355488795,0.06358590610019116,-1.7821646415847376,-0.11709897178039252,-0.10411183757381148,0.4166666666666667,-0.14356055355488792,0.06358590610019116,-2.2577417286258714,-0.1391419677513268,-0.12961144798875246,0.4166666666666667,-0.16372055355488793,0.06358590610019116,-2.574793119986628,-0.15429220088712803,-0.14621492611352138,0.3958333333333333,-0.21412055355488793,0.06358590610019116,-3.3674215983885185,-0.1916610224069153,-0.18637866035549933,0.375
