trade_date,instruments,long_count,short_count,long_return,short_asset_return,gross_return,gross_exposure,net_exposure,round_trip_turnover,net_0bps_return,net_3bps_return,net_5bps_return,net_10bps_return,test_year
2025-06-06,30,6,6,0.025786248447228887,0.009899828450690117,0.007943209998269385,1.0,0.0,2.0,0.007943209998269385,0.007343209998269385,0.006943209998269385,0.005943209998269385,2025
2025-06-13,30,6,6,-0.0014855469149430668,0.019619222028644835,-0.01055238447179395,1.0,0.0,2.0,-0.01055238447179395,-0.01115238447179395,-0.01155238447179395,-0.012552384471793951,2025
2025-06-20,30,6,6,0.016154758881628765,-0.020732082957936382,0.01844342091978257,1.0,0.0,2.0,0.01844342091978257,0.017843420919782572,0.01744342091978257,0.01644342091978257,2025
2025-06-27,30,6,6,-0.0025154896092112835,0.00297060451681495,-0.0027430470630131166,1.0,0.0,2.0,-0.0027430470630131166,-0.0033430470630131165,-0.0037430470630131166,-0.004743047063013117,2025
2025-07-04,30,6,6,-0.00037322054342028263,0.0356621814207092,-0.01801770098206474,1.0,0.0,2.0,-0.01801770098206474,-0.01861770098206474,-0.01901770098206474,-0.02001770098206474,2025
2025-07-11,30,6,6,0.011453112242553817,0.022811966558798417,-0.0056794271581223,1.0,0.0,2.0,-0.0056794271581223,-0.0062794271581223,-0.0066794271581223,-0.0076794271581223,2025
2025-07-18,30,6,6,0.011054759113045683,0.0765459013815312,-0.03274557113424276,1.0,0.0,2.0,-0.03274557113424276,-0.03334557113424276,-0.03374557113424276,-0.03474557113424276,2025
2025-07-25,30,6,6,-0.00015777674482716705,-0.09034769278294935,0.04509495801906109,1.0,0.0,2.0,0.04509495801906109,0.04449495801906109,0.04409495801906109,0.04309495801906109,2025
2025-08-01,30,6,6,0.007828413165405966,0.032641749744546915,-0.012406668289570474,1.0,0.0,2.0,-0.012406668289570474,-0.013006668289570474,-0.013406668289570475,-0.014406668289570474,2025
2025-08-08,30,6,6,-0.010066482570593968,0.00425073539081165,-0.007158608980702809,1.0,0.0,2.0,-0.007158608980702809,-0.007758608980702809,-0.008158608980702808,-0.00915860898070281,2025
2025-08-15,30,6,6,-0.00104064725279375,-0.033807066423476785,0.016383209585341518,1.0,0.0,2.0,0.016383209585341518,0.015783209585341518,0.015383209585341517,0.014383209585341518,2025
2025-08-22,30,6,6,0.013797823771618332,-0.015317332454382484,0.01455757811300041,1.0,0.0,2.0,0.01455757811300041,0.01395757811300041,0.013557578113000408,0.01255757811300041,2025
2025-08-29,30,6,6,-0.0031517956509114504,0.00504208059804995,-0.0040969381244807,1.0,0.0,2.0,-0.0040969381244807,-0.0046969381244806995,-0.0050969381244807,-0.0060969381244807,2025
2025-09-05,30,6,6,0.005739402057741267,-0.004213305199220166,0.0049763536284807165,1.0,0.0,2.0,0.0049763536284807165,0.004376353628480717,0.003976353628480716,0.0029763536284807164,2025
2025-09-12,30,6,6,-0.0015209873105554168,0.027389267217350678,-0.014455127263953047,1.0,0.0,2.0,-0.014455127263953047,-0.015055127263953047,-0.015455127263953046,-0.016455127263953047,2025
2025-09-19,30,6,6,0.007472193474764867,-0.019251611065950237,0.013361902270357552,1.0,0.0,2.0,0.013361902270357552,0.012761902270357553,0.012361902270357553,0.011361902270357552,2025
2025-09-26,30,6,6,-0.0164441632467863,-9.960710224555039e-05,-0.008172278072270375,1.0,0.0,2.0,-0.008172278072270375,-0.008772278072270375,-0.009172278072270376,-0.010172278072270375,2025
2025-10-13,30,6,6,-0.005381863635676366,0.010989565721086681,-0.008185714678381525,1.0,0.0,2.0,-0.008185714678381525,-0.008785714678381525,-0.009185714678381526,-0.010185714678381525,2025
2025-10-20,30,6,6,0.03966016035872142,0.024823300211591234,0.007418430073565093,1.0,0.0,2.0,0.007418430073565093,0.006818430073565094,0.006418430073565093,0.005418430073565093,2025
2025-10-27,30,6,6,-0.0090193180124802,0.010037771201637131,-0.009528544607058665,1.0,0.0,2.0,-0.009528544607058665,-0.010128544607058665,-0.010528544607058665,-0.011528544607058665,2025
2025-11-03,30,6,6,-0.013356880389336682,0.0022442514334477495,-0.007800565911392216,1.0,0.0,2.0,-0.007800565911392216,-0.008400565911392216,-0.008800565911392215,-0.009800565911392216,2025
2025-11-10,30,6,6,-0.005301837936577066,-0.014175960343407531,0.0044370612034152325,1.0,0.0,2.0,0.0044370612034152325,0.0038370612034152327,0.0034370612034152325,0.0024370612034152325,2025
2025-11-17,30,6,6,-0.009987893233960451,-0.030151797303461982,0.010081952034750766,1.0,0.0,2.0,0.010081952034750766,0.009481952034750767,0.009081952034750766,0.008081952034750766,2025
2025-11-24,30,6,6,0.0004082723946446834,0.007648277068608184,-0.00362000233698175,1.0,0.0,2.0,-0.00362000233698175,-0.00422000233698175,-0.00462000233698175,-0.0056200023369817505,2025
2025-12-01,30,6,6,-0.016252064349789052,-0.021052229794982783,0.0024000827225968656,1.0,0.0,2.0,0.0024000827225968656,0.0018000827225968657,0.0014000827225968656,0.00040008272259686554,2025
2025-12-08,30,6,6,-0.013258601893001534,-3.6415600474498036e-05,-0.006611093146263518,1.0,0.0,2.0,-0.006611093146263518,-0.007211093146263518,-0.007611093146263518,-0.008611093146263519,2025
2025-12-15,30,6,6,0.005183254658758684,0.04629462700446437,-0.020555686172852843,1.0,0.0,2.0,-0.020555686172852843,-0.021155686172852843,-0.021555686172852844,-0.02255568617285284,2025
2025-12-22,30,6,6,0.011361263094373951,0.012411928455439517,-0.0005253326805327828,1.0,0.0,2.0,-0.0005253326805327828,-0.0011253326805327826,-0.0015253326805327828,-0.002525332680532783,2025
